video_id,url,category,status
jLZRwk5Cur0,https://www.youtube.com/watch?v=jLZRwk5Cur0&pp=ygUgaXBob25lIDE1IHBybyBtYXggcmF3IHZpZGVvIHRlc3Q%3D,real,completed
x96lHB_Zeg8,https://www.youtube.com/watch?v=x96lHB_Zeg8&pp=ygUgaXBob25lIDE1IHBybyBtYXggcmF3IHZpZGVvIHRlc3Q%3D,real,completed
g1Lx6TvW4T0,https://www.youtube.com/watch?v=g1Lx6TvW4T0&pp=ygUgaXBob25lIDE1IHBybyBtYXggcmF3IHZpZGVvIHRlc3Q%3D,real,completed
94nDWj6fBWk,https://www.youtube.com/watch?v=94nDWj6fBWk&pp=ygUgaXBob25lIDE1IHBybyBtYXggcmF3IHZpZGVvIHRlc3Q%3D,real,completed
HPOBCmdz8Bo,https://www.youtube.com/watch?v=HPOBCmdz8Bo&pp=ygUgaXBob25lIDE1IHBybyBtYXggcmF3IHZpZGVvIHRlc3Q%3D,real,completed
BOZUfWcGCxk,https://www.youtube.com/watch?v=BOZUfWcGCxk&pp=ygUgaXBob25lIDE1IHBybyBtYXggcmF3IHZpZGVvIHRlc3Q%3D,real,completed
Q8Z32AL0yG4,https://www.youtube.com/watch?v=Q8Z32AL0yG4&pp=ygUgaXBob25lIDE1IHBybyBtYXggcmF3IHZpZGVvIHRlc3TSBwkJ1AoBhyohjO8%3D,real,completed
vBSCCosHa2A,https://www.youtube.com/watch?v=vBSCCosHa2A&pp=ygUgaXBob25lIDE1IHBybyBtYXggcmF3IHZpZGVvIHRlc3Q%3D,real,completed
q3iyXdebOvg,https://www.youtube.com/watch?v=q3iyXdebOvg&pp=ygUgaXBob25lIDE1IHBybyBtYXggcmF3IHZpZGVvIHRlc3Q%3D,real,completed
DZoQgEZ73Fs,https://www.youtube.com/watch?v=DZoQgEZ73Fs&pp=ygUgaXBob25lIDE1IHBybyBtYXggcmF3IHZpZGVvIHRlc3Q%3D,real,completed
CkmZkosaVnI,https://www.youtube.com/watch?v=CkmZkosaVnI&pp=ygUgaXBob25lIDE1IHBybyBtYXggcmF3IHZpZGVvIHRlc3Q%3D,real,completed
WUoIgQI2wPA,https://www.youtube.com/watch?v=WUoIgQI2wPA&pp=ygUZcmF3IGRhc2hjYW0gZm9vdGFnZSAxMDgwcA%3D%3D,real,completed
yymvlmINAuk,https://www.youtube.com/watch?v=yymvlmINAuk&pp=ygUZcmF3IGRhc2hjYW0gZm9vdGFnZSAxMDgwcNIHCQnUCgGHKiGM7w%3D%3D,real,completed
lQ4KggjbiD4,https://www.youtube.com/watch?v=lQ4KggjbiD4&pp=ygUZcmF3IGRhc2hjYW0gZm9vdGFnZSAxMDgwcA%3D%3D,real,completed
R5B3uVNziXE,https://www.youtube.com/watch?v=R5B3uVNziXE&pp=ygUZcmF3IGRhc2hjYW0gZm9vdGFnZSAxMDgwcA%3D%3D,real,completed
Tm-lFMAru5c,https://www.youtube.com/watch?v=Tm-lFMAru5c&pp=ygUZcmF3IGRhc2hjYW0gZm9vdGFnZSAxMDgwcA%3D%3D,real,completed
1nFOH29CWWk,https://www.youtube.com/watch?v=1nFOH29CWWk&pp=ygUZcmF3IGRhc2hjYW0gZm9vdGFnZSAxMDgwcA%3D%3D,real,completed
3NIFIsiZMgY,https://www.youtube.com/watch?v=3NIFIsiZMgY&pp=ygUZcmF3IGRhc2hjYW0gZm9vdGFnZSAxMDgwcA%3D%3D,real,completed
ohwhkytW1s4,https://www.youtube.com/watch?v=ohwhkytW1s4&pp=ygUZcmF3IGRhc2hjYW0gZm9vdGFnZSAxMDgwcA%3D%3D,real,completed
RFMh0zJaxpM,https://www.youtube.com/watch?v=RFMh0zJaxpM&pp=ygUZcmF3IGRhc2hjYW0gZm9vdGFnZSAxMDgwcA%3D%3D,real,completed
Odf8d9aWAgY,https://www.youtube.com/watch?v=Odf8d9aWAgY&pp=ygUZcmF3IGRhc2hjYW0gZm9vdGFnZSAxMDgwcA%3D%3D,real,completed
BreJ_-tiEvg,https://www.youtube.com/watch?v=BreJ_-tiEvg&pp=ygUmU29yYSBBSSBnZW5lcmF0ZWQgdmlkZW8gcGhvdG9yZWFsaXN0aWM%3D,ai,completed
OY2x0TyKzIQ,https://www.youtube.com/watch?v=OY2x0TyKzIQ&pp=ygUmU29yYSBBSSBnZW5lcmF0ZWQgdmlkZW8gcGhvdG9yZWFsaXN0aWM%3D,ai,completed
JhH3uxcdM1M,https://www.youtube.com/watch?v=JhH3uxcdM1M&pp=ygUmU29yYSBBSSBnZW5lcmF0ZWQgdmlkZW8gcGhvdG9yZWFsaXN0aWM%3D,ai,completed
anmuklFtu8U,https://www.youtube.com/watch?v=anmuklFtu8U&pp=ygUmU29yYSBBSSBnZW5lcmF0ZWQgdmlkZW8gcGhvdG9yZWFsaXN0aWM%3D,ai,completed
5gJPzZ-XI2Y,https://www.youtube.com/watch?v=5gJPzZ-XI2Y&pp=ygUmU29yYSBBSSBnZW5lcmF0ZWQgdmlkZW8gcGhvdG9yZWFsaXN0aWM%3D,ai,completed
ettgw_25pTQ,https://www.youtube.com/watch?v=ettgw_25pTQ&pp=ygUmU29yYSBBSSBnZW5lcmF0ZWQgdmlkZW8gcGhvdG9yZWFsaXN0aWM%3D,ai,completed
N5DAmtOVx3I,https://www.youtube.com/watch?v=N5DAmtOVx3I&pp=ygUmU29yYSBBSSBnZW5lcmF0ZWQgdmlkZW8gcGhvdG9yZWFsaXN0aWM%3D,ai,completed
pNMMFov2f_c,https://www.youtube.com/watch?v=pNMMFov2f_c&pp=ygUmU29yYSBBSSBnZW5lcmF0ZWQgdmlkZW8gcGhvdG9yZWFsaXN0aWM%3D,ai,completed
lEcg6AJ6DVY,https://www.youtube.com/watch?v=lEcg6AJ6DVY&pp=ygUmU29yYSBBSSBnZW5lcmF0ZWQgdmlkZW8gcGhvdG9yZWFsaXN0aWM%3D,ai,completed
1PaoWKvcJP0,https://www.youtube.com/watch?v=1PaoWKvcJP0&pp=ygUmU29yYSBBSSBnZW5lcmF0ZWQgdmlkZW8gcGhvdG9yZWFsaXN0aWM%3D,ai,completed
Xe0YmwcS0O4,https://www.youtube.com/watch?v=Xe0YmwcS0O4&pp=ygUmU29yYSBBSSBnZW5lcmF0ZWQgdmlkZW8gcGhvdG9yZWFsaXN0aWM%3D,ai,completed
tVh9aMXW7-o,https://www.youtube.com/watch?v=tVh9aMXW7-o&pp=ygUmU29yYSBBSSBnZW5lcmF0ZWQgdmlkZW8gcGhvdG9yZWFsaXN0aWM%3D,ai,completed
8h2yFeYsXls,https://www.youtube.com/watch?v=8h2yFeYsXls&pp=ygUmU29yYSBBSSBnZW5lcmF0ZWQgdmlkZW8gcGhvdG9yZWFsaXN0aWM%3D,ai,completed
7UVWicIeIAE,https://www.youtube.com/watch?v=7UVWicIeIAE&pp=ygUmU29yYSBBSSBnZW5lcmF0ZWQgdmlkZW8gcGhvdG9yZWFsaXN0aWM%3D,ai,completed
MA8BP97ceO4,https://www.youtube.com/watch?v=MA8BP97ceO4&pp=ygUmU29yYSBBSSBnZW5lcmF0ZWQgdmlkZW8gcGhvdG9yZWFsaXN0aWM%3D,ai,completed
nByslCkykj8,https://www.youtube.com/watch?v=nByslCkykj8&pp=ygUVUnVud2F5IEdlbiAzIHNob3djYXNl,ai,completed
XEF9KR_B6no,https://www.youtube.com/watch?v=XEF9KR_B6no&pp=ygUVUnVud2F5IEdlbiAzIHNob3djYXNl,ai,completed
7AN4D3iN7BA,https://www.youtube.com/watch?v=7AN4D3iN7BA&pp=ygUVUnVud2F5IEdlbiAzIHNob3djYXNl,ai,completed
px2ShC7P0bE,https://www.youtube.com/watch?v=px2ShC7P0bE&list=RDpx2ShC7P0bE&start_radio=1&pp=ygUVUnVud2F5IEdlbiAzIHNob3djYXNloAcB0gcJCdQKAYcqIYzv,ai,completed
AwKSrJFvdps,https://www.youtube.com/watch?v=AwKSrJFvdps&pp=ygUVUnVud2F5IEdlbiAzIHNob3djYXNl,ai,completed
cZVg4cUpD04,https://www.youtube.com/watch?v=cZVg4cUpD04&pp=ygUVUnVud2F5IEdlbiAzIHNob3djYXNl,ai,completed
KUHx-2uz_qI,https://www.youtube.com/watch?v=KUHx-2uz_qI&pp=ygUVUnVud2F5IEdlbiAzIHNob3djYXNl,ai,completed
W82N6R28bAo,https://www.youtube.com/watch?v=W82N6R28bAo&pp=ygUVUnVud2F5IEdlbiAzIHNob3djYXNl,ai,completed
nGeT8CXN_YM,https://www.youtube.com/watch?v=nGeT8CXN_YM&pp=ygUVUnVud2F5IEdlbiAzIHNob3djYXNl,ai,completed
J52boyqNiec,https://www.youtube.com/watch?v=J52boyqNiec&pp=ygUVUnVud2F5IEdlbiAzIHNob3djYXNl,ai,completed
FqYRkl12ON8,https://www.youtube.com/watch?v=FqYRkl12ON8&t=452s&pp=ygUVUnVud2F5IEdlbiAzIHNob3djYXNl0gcJCdQKAYcqIYzv,ai,completed
OrUlbz3E23s,https://www.youtube.com/watch?v=OrUlbz3E23s&list=RDOrUlbz3E23s&start_radio=1&pp=ygUVUnVud2F5IEdlbiAzIHNob3djYXNloAcB,ai,completed
148HJnhe4bg,https://www.youtube.com/watch?v=148HJnhe4bg&pp=ygUVUnVud2F5IEdlbiAzIHNob3djYXNl,ai,failed
I4Udu3GPrc8,https://www.youtube.com/watch?v=I4Udu3GPrc8&pp=ygUVUnVud2F5IEdlbiAzIHNob3djYXNl,ai,completed
kjKKkfsVtZ0,https://www.youtube.com/watch?v=kjKKkfsVtZ0&pp=ygUVUnVud2F5IEdlbiAzIHNob3djYXNl,ai,completed
anACVZDNw6o,https://www.youtube.com/watch?v=anACVZDNw6o&pp=ygUZS2xpbmcgQUkgdmlkZW8gZ2VuZXJhdGlvbg%3D%3D,ai,completed
p6cV7PitAvg,https://www.youtube.com/watch?v=p6cV7PitAvg&pp=ygUZS2xpbmcgQUkgdmlkZW8gZ2VuZXJhdGlvbg%3D%3D,ai,completed
G1VHCrl4jy4,https://www.youtube.com/watch?v=G1VHCrl4jy4&pp=ygUZS2xpbmcgQUkgdmlkZW8gZ2VuZXJhdGlvbg%3D%3D,ai,completed
-MluR9dqt5w,https://www.youtube.com/watch?v=-MluR9dqt5w&pp=ygUZS2xpbmcgQUkgdmlkZW8gZ2VuZXJhdGlvbg%3D%3D,ai,completed
EWBsU0fSgPs,https://www.youtube.com/watch?v=EWBsU0fSgPs&pp=ygUZS2xpbmcgQUkgdmlkZW8gZ2VuZXJhdGlvbg%3D%3D,ai,completed
HTBfxEqDCdU,https://www.youtube.com/watch?v=HTBfxEqDCdU&pp=ygUZS2xpbmcgQUkgdmlkZW8gZ2VuZXJhdGlvbg%3D%3D,ai,completed
Em6pM_MPNmc,https://www.youtube.com/watch?v=Em6pM_MPNmc&pp=ygUZS2xpbmcgQUkgdmlkZW8gZ2VuZXJhdGlvbg%3D%3D,ai,completed
aQMcKnonJcg,https://www.youtube.com/watch?v=aQMcKnonJcg&pp=ygUZS2xpbmcgQUkgdmlkZW8gZ2VuZXJhdGlvbg%3D%3D,ai,completed
YBBSyGaM-7w,https://www.youtube.com/watch?v=YBBSyGaM-7w&pp=ygUZS2xpbmcgQUkgdmlkZW8gZ2VuZXJhdGlvbg%3D%3D,ai,completed
xoSbJFRnKMM,https://www.youtube.com/watch?v=xoSbJFRnKMM&t=147s&pp=ygUZS2xpbmcgQUkgdmlkZW8gZ2VuZXJhdGlvbg%3D%3D,ai,completed
DiqN2rgg9RU,https://www.youtube.com/watch?v=DiqN2rgg9RU&pp=ygUbcG9kY2FzdCBpbnRlcnZpZXcgbXVsdGktY2Ft,real,completed
RktEsHlWU_A,https://www.youtube.com/watch?v=RktEsHlWU_A&pp=ygUbcG9kY2FzdCBpbnRlcnZpZXcgbXVsdGktY2Ft,real,completed
rplQnysEA2Q,https://www.youtube.com/watch?v=rplQnysEA2Q&pp=ygUbcG9kY2FzdCBpbnRlcnZpZXcgbXVsdGktY2Ft,real,completed
CPmSCfVXVoY,https://www.youtube.com/watch?v=CPmSCfVXVoY&pp=ygUbcG9kY2FzdCBpbnRlcnZpZXcgbXVsdGktY2Ft,real,completed
RWpWc8QbyNM,https://www.youtube.com/watch?v=RWpWc8QbyNM&pp=ygUbcG9kY2FzdCBpbnRlcnZpZXcgbXVsdGktY2Ft,real,completed
9y9UEAkB2VA,https://www.youtube.com/watch?v=9y9UEAkB2VA&pp=ygUbcG9kY2FzdCBpbnRlcnZpZXcgbXVsdGktY2Ft,real,completed
tq6Xt8SpCGU,https://www.youtube.com/watch?v=tq6Xt8SpCGU&pp=ygUbcG9kY2FzdCBpbnRlcnZpZXcgbXVsdGktY2Ft,real,completed
C9LGwbrf0hM,https://www.youtube.com/watch?v=C9LGwbrf0hM&pp=ygUbcG9kY2FzdCBpbnRlcnZpZXcgbXVsdGktY2Ft0gcJCdQKAYcqIYzv,real,completed
KG6tsJgZZSA,https://www.youtube.com/watch?v=KG6tsJgZZSA&pp=ygUbcG9kY2FzdCBpbnRlcnZpZXcgbXVsdGktY2Ft,real,completed
HONnXCbReVc,https://www.youtube.com/watch?v=HONnXCbReVc&pp=ygUbcG9kY2FzdCBpbnRlcnZpZXcgbXVsdGktY2Ft,real,completed
7ZhdXgRfxHI,https://www.youtube.com/watch?v=7ZhdXgRfxHI&pp=ygUiZG9jdW1lbnRhcnkgbmF0dXJlIGItcm9sbCB1bmVkaXRlZNIHCQnUCgGHKiGM7w%3D%3D,real,completed
TMnviG0jzik,https://www.youtube.com/watch?v=TMnviG0jzik&pp=ygUiZG9jdW1lbnRhcnkgbmF0dXJlIGItcm9sbCB1bmVkaXRlZA%3D%3D,real,completed
EYJm7hIYLSU,https://www.youtube.com/watch?v=EYJm7hIYLSU&pp=ygUiZG9jdW1lbnRhcnkgbmF0dXJlIGItcm9sbCB1bmVkaXRlZA%3D%3D,real,completed
k-8g7_d9GBY,https://www.youtube.com/watch?v=k-8g7_d9GBY&pp=ygUiZG9jdW1lbnRhcnkgbmF0dXJlIGItcm9sbCB1bmVkaXRlZA%3D%3D,real,completed
oIP1c0igXGk,https://www.youtube.com/watch?v=oIP1c0igXGk&pp=ygUiZG9jdW1lbnRhcnkgbmF0dXJlIGItcm9sbCB1bmVkaXRlZA%3D%3D,real,completed
iAlOLJjExQE,https://www.youtube.com/watch?v=iAlOLJjExQE&pp=ygUiZG9jdW1lbnRhcnkgbmF0dXJlIGItcm9sbCB1bmVkaXRlZA%3D%3D,real,completed
u_DsoUZlTek,https://www.youtube.com/watch?v=u_DsoUZlTek&pp=ygUiZG9jdW1lbnRhcnkgbmF0dXJlIGItcm9sbCB1bmVkaXRlZA%3D%3D,real,completed
VNu15Qqomt8,https://www.youtube.com/watch?v=VNu15Qqomt8&pp=ygUiZG9jdW1lbnRhcnkgbmF0dXJlIGItcm9sbCB1bmVkaXRlZA%3D%3D,real,completed
RpVweHxjUhk,https://www.youtube.com/watch?v=RpVweHxjUhk&pp=ygUiZG9jdW1lbnRhcnkgbmF0dXJlIGItcm9sbCB1bmVkaXRlZA%3D%3D,real,completed
S9iZ2ZvHVHo,https://www.youtube.com/watch?v=S9iZ2ZvHVHo&pp=ygUiZG9jdW1lbnRhcnkgbmF0dXJlIGItcm9sbCB1bmVkaXRlZA%3D%3D,real,completed
mc74cBCs6w4,https://www.youtube.com/watch?v=mc74cBCs6w4&pp=ygUYdmxvZyBoaWdoIHF1YWxpdHkgY2FtZXJh,real,completed
noC91MJVPIM,https://www.youtube.com/watch?v=noC91MJVPIM&pp=ygUYdmxvZyBoaWdoIHF1YWxpdHkgY2FtZXJh,real,completed
Qavo29ioi2Q,https://www.youtube.com/watch?v=Qavo29ioi2Q&pp=ygUYdmxvZyBoaWdoIHF1YWxpdHkgY2FtZXJh,real,completed
57imm6PYz0o,https://www.youtube.com/watch?v=57imm6PYz0o&pp=ygUYdmxvZyBoaWdoIHF1YWxpdHkgY2FtZXJh,real,completed
pqjWiv-FNZ0,https://www.youtube.com/watch?v=pqjWiv-FNZ0&pp=ygUYdmxvZyBoaWdoIHF1YWxpdHkgY2FtZXJh,real,completed
0mVBgzD6O8k,https://www.youtube.com/watch?v=0mVBgzD6O8k&pp=ygUYdmxvZyBoaWdoIHF1YWxpdHkgY2FtZXJh,real,completed
MITckU6Nhls,https://www.youtube.com/watch?v=MITckU6Nhls&pp=ygUYdmxvZyBoaWdoIHF1YWxpdHkgY2FtZXJh,real,completed
7WJwa1P6p98,https://www.youtube.com/watch?v=7WJwa1P6p98&pp=ygUYdmxvZyBoaWdoIHF1YWxpdHkgY2FtZXJh0gcJCdQKAYcqIYzv,real,completed
sWETfW445bo,https://www.youtube.com/watch?v=sWETfW445bo&pp=ygUYdmxvZyBoaWdoIHF1YWxpdHkgY2FtZXJh,real,completed
8T2usqGbxog,https://www.youtube.com/watch?v=8T2usqGbxog&pp=ygUYdmxvZyBoaWdoIHF1YWxpdHkgY2FtZXJh,real,completed
uJaqnJ6-xfY,https://www.youtube.com/watch?v=uJaqnJ6-xfY&pp=ygUdc3BvcnRzIGhpZ2hsaWdodHMgMTA4MHAgNjBmcHM%3D,real,completed
ZeJlh0vhcFc,https://www.youtube.com/watch?v=ZeJlh0vhcFc&pp=ygUdc3BvcnRzIGhpZ2hsaWdodHMgMTA4MHAgNjBmcHM%3D,real,completed
Iq79pyqCR-o,https://www.youtube.com/watch?v=Iq79pyqCR-o&pp=ygUdc3BvcnRzIGhpZ2hsaWdodHMgMTA4MHAgNjBmcHM%3D,real,completed
uIm28lp4g1Y,https://www.youtube.com/watch?v=uIm28lp4g1Y&pp=ygUdc3BvcnRzIGhpZ2hsaWdodHMgMTA4MHAgNjBmcHM%3D,real,completed
7WJHBIUX_S0,https://www.youtube.com/watch?v=7WJHBIUX_S0&pp=ygUdc3BvcnRzIGhpZ2hsaWdodHMgMTA4MHAgNjBmcHM%3D,real,completed
HsWkKdCVRGI,https://www.youtube.com/watch?v=HsWkKdCVRGI&pp=ygUdc3BvcnRzIGhpZ2hsaWdodHMgMTA4MHAgNjBmcHM%3D,real,completed
8wTyv-5E5Kc,https://www.youtube.com/watch?v=8wTyv-5E5Kc&pp=ygUdc3BvcnRzIGhpZ2hsaWdodHMgMTA4MHAgNjBmcHM%3D,real,completed
peuIQ9Iztwo,https://www.youtube.com/watch?v=peuIQ9Iztwo&pp=ygUdc3BvcnRzIGhpZ2hsaWdodHMgMTA4MHAgNjBmcHM%3D,real,completed
l5egeVNhndc,https://www.youtube.com/watch?v=l5egeVNhndc&pp=ygUdc3BvcnRzIGhpZ2hsaWdodHMgMTA4MHAgNjBmcHM%3D,real,completed
i3PRqSqHCgY,https://www.youtube.com/watch?v=i3PRqSqHCgY&pp=ygUdc3BvcnRzIGhpZ2hsaWdodHMgMTA4MHAgNjBmcHM%3D,real,completed
4Us62q8B-rw,https://www.youtube.com/watch?v=4Us62q8B-rw&pp=ygUZNGsgd2Fsa2luZyB0b3VyIGNpdHkgcmFpbtIHCQnUCgGHKiGM7w%3D%3D,real,completed
72Irs8Ff6dk,https://www.youtube.com/watch?v=72Irs8Ff6dk&pp=ygUZNGsgd2Fsa2luZyB0b3VyIGNpdHkgcmFpbg%3D%3D,real,completed
ufskJSgaLfI,https://www.youtube.com/watch?v=ufskJSgaLfI&pp=ygUZNGsgd2Fsa2luZyB0b3VyIGNpdHkgcmFpbg%3D%3D,real,completed
SgdsWCC0M-0,https://www.youtube.com/watch?v=SgdsWCC0M-0&pp=ygUZNGsgd2Fsa2luZyB0b3VyIGNpdHkgcmFpbg%3D%3D,real,completed
nTs6kPtDJGM,https://www.youtube.com/watch?v=nTs6kPtDJGM&pp=ygUZNGsgd2Fsa2luZyB0b3VyIGNpdHkgcmFpbg%3D%3D,real,completed
ajKY8mNJmDw,https://www.youtube.com/watch?v=ajKY8mNJmDw&pp=ygUZNGsgd2Fsa2luZyB0b3VyIGNpdHkgcmFpbg%3D%3D,real,completed
q7sIAhaxpuo,https://www.youtube.com/watch?v=q7sIAhaxpuo&pp=ygUZNGsgd2Fsa2luZyB0b3VyIGNpdHkgcmFpbg%3D%3D,real,completed
SiryvrStb8E,https://www.youtube.com/watch?v=SiryvrStb8E&pp=ygUZNGsgd2Fsa2luZyB0b3VyIGNpdHkgcmFpbg%3D%3D,real,completed
LFOx-vmYrts,https://www.youtube.com/watch?v=LFOx-vmYrts&pp=ygUZNGsgd2Fsa2luZyB0b3VyIGNpdHkgcmFpbg%3D%3D,real,completed
GW_cHQ93o0c,https://www.youtube.com/watch?v=GW_cHQ93o0c&pp=ygUZNGsgd2Fsa2luZyB0b3VyIGNpdHkgcmFpbtIHCQnUCgGHKiGM7w%3D%3D,real,completed
e0C1xXiWSMU,https://www.youtube.com/watch?v=e0C1xXiWSMU&pp=ygUjbWFrZXVwIHR1dG9yaWFsIHJpbmcgbGlnaHQgdW5lZGl0ZWTSBwkJ1AoBhyohjO8%3D,real,completed
MSKGwwIT4Do,https://www.youtube.com/watch?v=MSKGwwIT4Do&pp=ygUjbWFrZXVwIHR1dG9yaWFsIHJpbmcgbGlnaHQgdW5lZGl0ZWQ%3D,real,completed
lD2p2s4VoVQ,https://www.youtube.com/watch?v=lD2p2s4VoVQ&pp=ygUjbWFrZXVwIHR1dG9yaWFsIHJpbmcgbGlnaHQgdW5lZGl0ZWQ%3D,real,completed
KnRAB7n9ZCo,https://www.youtube.com/watch?v=KnRAB7n9ZCo&pp=ygUjbWFrZXVwIHR1dG9yaWFsIHJpbmcgbGlnaHQgdW5lZGl0ZWQ%3D,real,completed
PwPuIvXJcI8,https://www.youtube.com/watch?v=PwPuIvXJcI8&pp=ygUjbWFrZXVwIHR1dG9yaWFsIHJpbmcgbGlnaHQgdW5lZGl0ZWQ%3D,real,completed
izRnxly6cyw,https://www.youtube.com/watch?v=izRnxly6cyw&pp=ygUjbWFrZXVwIHR1dG9yaWFsIHJpbmcgbGlnaHQgdW5lZGl0ZWQ%3D,real,completed
Fx1jCwX0LeU,https://www.youtube.com/watch?v=Fx1jCwX0LeU&pp=ygUjbWFrZXVwIHR1dG9yaWFsIHJpbmcgbGlnaHQgdW5lZGl0ZWQ%3D,real,completed
3jfz_-mVwss,https://www.youtube.com/watch?v=3jfz_-mVwss&pp=ygUjbWFrZXVwIHR1dG9yaWFsIHJpbmcgbGlnaHQgdW5lZGl0ZWQ%3D,real,completed
MPU9DAkYnGw,https://www.youtube.com/watch?v=MPU9DAkYnGw&pp=ygUjbWFrZXVwIHR1dG9yaWFsIHJpbmcgbGlnaHQgdW5lZGl0ZWQ%3D,real,completed
MWv0IDtOyxY,https://www.youtube.com/watch?v=MWv0IDtOyxY&pp=ygUjbWFrZXVwIHR1dG9yaWFsIHJpbmcgbGlnaHQgdW5lZGl0ZWQ%3D,real,completed
CenxCa29Yh8,https://www.youtube.com/watch?v=CenxCa29Yh8&pp=ygUeTHVtYSBEcmVhbSBNYWNoaW5lIGdlbmVyYXRpb25z,ai,completed
Zb3tffmBPRE,https://www.youtube.com/watch?v=Zb3tffmBPRE&pp=ygUeTHVtYSBEcmVhbSBNYWNoaW5lIGdlbmVyYXRpb25z,ai,completed
eY8B221msXY,https://www.youtube.com/watch?v=eY8B221msXY&pp=ygUeTHVtYSBEcmVhbSBNYWNoaW5lIGdlbmVyYXRpb25z,ai,completed
-uA7G0LtPmQ,https://www.youtube.com/watch?v=-uA7G0LtPmQ&pp=ygUeTHVtYSBEcmVhbSBNYWNoaW5lIGdlbmVyYXRpb25z,ai,completed
95ek6ZQ-y3g,https://www.youtube.com/watch?v=95ek6ZQ-y3g&pp=ygUeTHVtYSBEcmVhbSBNYWNoaW5lIGdlbmVyYXRpb25z,ai,completed
P4K0GP5zWKE,https://www.youtube.com/watch?v=P4K0GP5zWKE&pp=ygUeTHVtYSBEcmVhbSBNYWNoaW5lIGdlbmVyYXRpb25z,ai,completed
v4V3eg1VQ18,https://www.youtube.com/watch?v=v4V3eg1VQ18&pp=ygUeTHVtYSBEcmVhbSBNYWNoaW5lIGdlbmVyYXRpb25z,ai,completed
xcyZe-kiRB8,https://www.youtube.com/watch?v=xcyZe-kiRB8&pp=ygUeTHVtYSBEcmVhbSBNYWNoaW5lIGdlbmVyYXRpb25z,ai,completed
