word1,word2,word3,word4,category,difficulty,General Category,game_id
billboard,sign,poster,banner,advertising format,easy,Action/Verb Synonyms,17
touch,move,sway,reach,affect,easy,Noun/Concept Synonyms,18
dry,vast,sandy,hot,adjectives for a desert,medium,Noun/Concept Synonyms,18
punt,snap,sack,fumble,american football actions,hard,Noun/Concept Synonyms,18
wombat,geoduck,seahorse,titmouse,animals ending with animals,very_hard,Members of a Set/Entities,18
end,center,safety,tackle,american football positions,hard,Noun/Concept Synonyms,19
sporty,compact,sleek,fast,adjectives for a sports car,medium,Members of a Set/Entities,19
anther,hark,easel,lama,animals minus starting letter,very_hard,Word Structure/Play,19
complex,hang-up,bugbear,demon,affliction,easy,Noun/Concept Synonyms,19
manner,surreal,romantic,expression,"art movements, with -ism",very_hard,Noun/Concept Synonyms,20
pound,olds,frost,bishop,american poets,hard,Noun/Concept Synonyms,20
toxic,frozen,fixed,liquid,adjectives for assets,medium,Noun/Concept Synonyms,20
rich,flush,loaded,wealthy,affluent,easy,Noun/Concept Synonyms,20
endorse,champion,support,back,advocate for,medium,Noun/Concept Synonyms,21
voice,choice,say,vote,agency in decisionmaking,easy,Noun/Concept Synonyms,21
arts,nope,pone,rats,anagrams,hard,Word Structure/Play,21
light,yang,masculine,expansive,associated principles in chinese philosophy,very_hard,Idioms & Slang,21
pencil,derek jeter,silver medal,deputy,associated with #2,very_hard,Noun/Concept Synonyms,22
staple,pleats,tsar,pastel,anagrams,hard,Word Structure/Play,22
spirit,united,virgin,frontier,airlines,easy,Noun/Concept Synonyms,22
amount,number,quantity,volume,aggregate size,medium,Noun/Concept Synonyms,22
snooze,time set,alarm,hour,alarm clock buttons,easy,Noun/Concept Synonyms,23
con game,hearts,halloween,magic show,associated with tricks,very_hard,Noun/Concept Synonyms,23
first,coach,premium,business,airline classes,medium,Noun/Concept Synonyms,23
peon,petals,star,open,anagrams,hard,Word Structure/Play,23
infant,swimming,ticker,pub,associated with “crawl”,very_hard,Noun/Concept Synonyms,24
frontier,spirit,southwest,alaska,airlines,medium,Noun/Concept Synonyms,24
noise,static,snow,fuzz,analog tv interference,hard,Trivia/Pop Culture,24
recess,hollow,nook,cavity,alcove,easy,Noun/Concept Synonyms,24
arrival,destination,gate,flight,airport board info,medium,Noun/Concept Synonyms,25
scales,down,shell,fur,animal coverings,hard,Noun/Concept Synonyms,25
flare,sos,alarm,signal,alert,easy,Noun/Concept Synonyms,25
cyclops,solitaire,unicycle,monologue,associated with “one”,very_hard,Noun/Concept Synonyms,25
pride,pack,swarm,school,animal group names,hard,Members of a Set/Entities,26
bathrobe,bowling,rug,white russian,associated with “the dude” lebowski,very_hard,Idioms & Slang,26
carousel,food court,gate,lounge,airport features,medium,Noun/Concept Synonyms,26
association,guild,league,union,alliance,easy,Noun/Concept Synonyms,26
movie,ball,school,vitamin,b-___,very_hard,Fill-in-the-Blank,27
dear,mousse,new,bare,animal homophones,hard,Word Structure/Play,27
reserved,cool,distant,remote,aloof,easy,Noun/Concept Synonyms,27
champ,goat,best,legend,all-time great,medium,Noun/Concept Synonyms,27
newt,frog,bat,dog,animals in the witches' brew in “macbeth”,hard,Members of a Set/Entities,28
toucan,capybara,anaconda,jaguar,amazon animals,easy,Members of a Set/Entities,28
icon,great,hero,legend,all-timer,medium,Noun/Concept Synonyms,28
carrot,shower,boom,talk,baby ___,very_hard,Fill-in-the-Blank,28
besides,to boot,as well,too,also,medium,Noun/Concept Synonyms,29
steps,blues,boomer,teeth,baby ___,very_hard,Fill-in-the-Blank,29
easy,open,flexible,receptive,amenable,easy,Descriptor/Adjective Synonyms,29
elephant,hippo,warthog,narwhal,animals with tusks,hard,Members of a Set/Entities,29
mar,god,tab,flow,backwards animals,very_hard,Members of a Set/Entities,30
bah,grinch,coal,naughty,anti-spirit of christmas,hard,Trivia/Pop Culture,30
tilt-a-whirl,merry-go-round,roller coaster,ferris wheel,amusement park rides,easy,Noun/Concept Synonyms,30
cluster,concentrate,group,collect,amass,medium,Noun/Concept Synonyms,30
gov,chem,bio,stats,ap classes,hard,Noun/Concept Synonyms,31
clay,papyrus,wax,parchment,ancient writing surfaces,easy,Noun/Concept Synonyms,31
mood,quality,air,feeling,ambience,medium,Noun/Concept Synonyms,31
heel,dog,jerk,snake,baddie,very_hard,Noun/Concept Synonyms,31
pride,herd,flock,pod,animal group names,easy,Members of a Set/Entities,32
split,boat,bread,slug,banana ___,very_hard,Fill-in-the-Blank,32
thatch,lock,tuft,shock,amounts of hair,medium,Noun/Concept Synonyms,32
brandy,sauce,cider,butter,apple products,hard,Noun/Concept Synonyms,32
pump,rocks,tank,filter,aquarium purchases,hard,Noun/Concept Synonyms,33
abel,sera,ares,ears,anagrams,medium,Word Structure/Play,33
swarm,pack,colony,school,animal group names,easy,Members of a Set/Entities,33
floyd,day,stripes,sabbath,band names minus colors,very_hard,Members of a Set/Entities,33
ruler,stencil,t-square,compass,architectural drawing tools,hard,Members of a Set/Entities,34
pride,school,herd,colony,animal groups,easy,Noun/Concept Synonyms,34
maroon,sum,u,blink,band names minus numbers,very_hard,Members of a Set/Entities,34
bela,bale,live,veil,anagrams,medium,Word Structure/Play,34
den,hive,lair,nest,animal homes,easy,Noun/Concept Synonyms,35
evil,able,sear,vile,anagrams,medium,Word Structure/Play,35
get it,capisce,understand,see,are we clear?,hard,Idioms & Slang,35
maroon,jackson,ben folds,mc,bands minus the number five,very_hard,Trivia/Pop Culture,35
horsefly,bulldog,turtledove,catfish,animals whose names are two animals,easy,Members of a Set/Entities,36
warren,lodge,den,burrow,animal homes,medium,Noun/Concept Synonyms,36
exam,mitzvah,soap,chart,bar ___,very_hard,Fill-in-the-Blank,36
paint,charcoal,pastel,ink,art mediums,hard,Noun/Concept Synonyms,36
mantle,bonds,trout,young,baseball greats,very_hard,Noun/Concept Synonyms,37
taurus,rodeo,wall street,michael jordan,associated with bulls,hard,Noun/Concept Synonyms,37
bear,hawk,bull,dove,animal metaphors in economics,medium,Noun/Concept Synonyms,37
trumpet,herald,broadcast,declare,announce,easy,Noun/Concept Synonyms,37
rooster,sunrise,dew,worm,associated with early morning,hard,Noun/Concept Synonyms,38
popper,nacho,wing,fry,appetizer unit,easy,Noun/Concept Synonyms,38
dip,sprout,counter,bag,bean ___,very_hard,Fill-in-the-Blank,38
beak,muzzle,trunk,snout,animal noses,medium,Noun/Concept Synonyms,38
hug,witness,claw,fruit,bear ___,very_hard,Fill-in-the-Blank,39
steel,diamond,rock,nails,associated with hardness,hard,Noun/Concept Synonyms,39
meow,oink,buzz,cluck,animal sounds,medium,Noun/Concept Synonyms,39
thanks,credit,praise,recognition,appreciation,easy,Noun/Concept Synonyms,39
lynx,ibex,oryx,fox,animals that end with “x”,medium,Members of a Set/Entities,40
batter,garden,pong,can,beer ___,very_hard,Fill-in-the-Blank,40
rough,broad,ballpark,general,approximate,easy,Noun/Concept Synonyms,40
pipe,forearm,spinach,anchor,associated with popeye,hard,Noun/Concept Synonyms,40
garlic,mirror,crucifix,stake,anti-vampire,medium,Noun/Concept Synonyms,41
like,roughly,about,around,approximately,easy,Descriptor/Adjective Synonyms,41
leprechaun,unicorn,pride,dorothy gale,associated with rainbows,hard,Noun/Concept Synonyms,41
sundry,friar,monkey,wedding,beginning with day abbreviations,very_hard,Action/Verb Synonyms,41
fish,libra,solfege,justice,associated with scales,hard,Noun/Concept Synonyms,42
height,top,peak,max,apex,medium,Noun/Concept Synonyms,42
bent,gift,flair,flair,aptitude,easy,Noun/Concept Synonyms,42
forehead,fievel,toucan,wonder,beginning with number homophones,very_hard,Word Structure/Play,42
dysentery,ford,hunt,oxen,associated with the game the oregon trail,hard,Idioms & Slang,43
buttermilk,bumper-to-bumper,rumpelstiltskin,tailgate,beginning with synonyms for rear end,very_hard,Idioms & Slang,43
shade,spirit,specter,wight,apparition,medium,Noun/Concept Synonyms,43
nose,faculty,instinct,gift,aptitude,easy,Noun/Concept Synonyms,43
mite,scorpion,spider,tick,arachnids,easy,Noun/Concept Synonyms,44
button,flop,dance,laugh,belly ___,very_hard,Fill-in-the-Blank,44
phantom,ghost,spirit,specter,apparitions,medium,Noun/Concept Synonyms,44
lamp,blue,wishes,earring,associated with the genie in “aladdin”,hard,Idioms & Slang,44
chocolate,pigeon,peace,soap,associated with “dove”,hard,Noun/Concept Synonyms,45
chair,judge,mediate,moderate,arbitrate,easy,Noun/Concept Synonyms,45
dress,manner,style,look,appearance,medium,Noun/Concept Synonyms,45
ray,milk,capote,lincoln,best actor-winning biopics,very_hard,Trivia/Pop Culture,45
frozen,up,flow,brave,best animated feature oscar winners,very_hard,Trivia/Pop Culture,46
arm,wing,fin,flipper,appendages,medium,Noun/Concept Synonyms,46
bow,target,arrow,quiver,archery equipment,easy,Members of a Set/Entities,46
cigarette,ticket,toe,pencil,associated with “stub”,hard,Noun/Concept Synonyms,46
crush,squash,press,mash,apply pressure to,medium,Noun/Concept Synonyms,47
bong,lee,stone,ford,best director oscar winners,very_hard,Trivia/Pop Culture,47
deposit,balance,transfer,withdrawal,atm options,hard,Noun/Concept Synonyms,47
specialty,field,concentration,focus,area of expertise,easy,Noun/Concept Synonyms,47
bank,mound,hill,dune,area of high ground,easy,Noun/Concept Synonyms,48
apple,crow,turner,summer,best female rock performance grammy winners,very_hard,Trivia/Pop Culture,48
duration,location,time,date,appointment specifications,medium,Noun/Concept Synonyms,48
draw,charm,pull,appeal,attraction,hard,Noun/Concept Synonyms,48
liberty bell,tower of pisa,venus de milo,statue of liberty,attractions iconically different from their original forms,hard,Idioms & Slang,49
jobs,vice,milk,blonde,biopics,very_hard,Noun/Concept Synonyms,49
pass,ravine,gulch,canyon,areas between mountains and hills,easy,Idioms & Slang,49
thumbs-up,clearance,green light,go-ahead,approval,medium,Noun/Concept Synonyms,49
rainbow,flight path,eyebrow,banana,arc-shaped things,medium,Members of a Set/Entities,50
major,private,general,captain,army ranks,easy,Noun/Concept Synonyms,50
crikey,bush,barbie,mate,australian terms,hard,Noun/Concept Synonyms,50
swank,crowd,gully,puffing,bird plus letter,very_hard,Word Structure/Play,50
mite,aphid,beetle,tick,arthropods,easy,Noun/Concept Synonyms,51
reverse,drive,neutral,low,automatic gear shifter positions,hard,Descriptor/Adjective Synonyms,51
condo,loo,hero,rave,birds minus last letter,very_hard,Word Structure/Play,51
hawkeye,cupid,robin hood,sagittarius,archers,medium,Noun/Concept Synonyms,51
fifth,broadway,park,madison,avenues in n.y.c.,hard,Noun/Concept Synonyms,52
concentration,major,degree,minor,areas of academic focus,medium,Descriptor/Adjective Synonyms,52
ladybug,shamrock,horseshoe,penny,associated with good luck,easy,Noun/Concept Synonyms,52
cran,flaming,haw,hero,birds minus last letter,very_hard,Word Structure/Play,52
balance sheet,roulette,checkers,licorice,black or red,very_hard,Noun/Concept Synonyms,53
hippodrome,coliseum,bowl,stadium,arena,medium,Noun/Concept Synonyms,53
later,next,soon,eventually,at some future point,easy,Noun/Concept Synonyms,53
kit,calf,cub,fawn,baby animals,hard,Members of a Set/Entities,53
whiff,slice,shank,hook,bad golf shots,hard,Descriptor/Adjective Synonyms,54
stick,paste,stick,affix,attach with adhesive,easy,Descriptor/Adjective Synonyms,54
subtract,add,multiply,divide,arithmetic operations,medium,Descriptor/Adjective Synonyms,54
gay,butler,hooks,walker,black women authors,very_hard,Trivia/Pop Culture,54
split,hit,bust,stand,blackjack terms,very_hard,Noun/Concept Synonyms,55
gothic,deco,dada,pop,art movements,medium,Noun/Concept Synonyms,55
adhere,glue,glue,adhere,attach with adhesive,easy,Descriptor/Adjective Synonyms,55
quit,freeze,timeout,glitch,bad things for a website to do,hard,Members of a Set/Entities,55
onion,poppy,everything,plain,bagel flavors,hard,Noun/Concept Synonyms,56
earn,land,win,score,attain,easy,Noun/Concept Synonyms,56
station,job,position,post,assignment,medium,Noun/Concept Synonyms,56
driver,finlet,flake,ebay,bodies of water plus starting letter,very_hard,Word Structure/Play,56
bat,castle,cape,fang,associated with count dracula,medium,Noun/Concept Synonyms,57
rankle,lear,ship,barm,body part plus a starting letter,very_hard,Word Structure/Play,57
foul,out,ball,fair,baseball calls,hard,Noun/Concept Synonyms,57
duds,getup,threads,fit,attire,easy,Noun/Concept Synonyms,57
bare,unclad,nude,naked,au naturel,easy,Noun/Concept Synonyms,58
run,walk,double,hit,baseball stats,hard,Noun/Concept Synonyms,58
slip,oedipus,dreams,id,associated with freud,medium,Noun/Concept Synonyms,58
shiny,livery,army,colony,"body parts plus ""y""",very_hard,Idioms & Slang,58
hearth,shine,china,butte,body parts plus letter,very_hard,Word Structure/Play,59
cinch,lock,secure,ice,"assure, as a victory",medium,Descriptor/Adjective Synonyms,59
shazam,tidal,audible,pandora,audio apps,easy,Noun/Concept Synonyms,59
diamond,stadium,park,field,baseball venues,hard,Noun/Concept Synonyms,59
dribble,block,pass,shoot,basketball moves,hard,Noun/Concept Synonyms,60
q-tip,chapstick,xerox,jacuzzi,brands that have become generic terms,very_hard,Members of a Set/Entities,60
standard,mean,norm,par,average,easy,Noun/Concept Synonyms,60
lock,secure,clinch,guarantee,"assure, as a win",medium,Noun/Concept Synonyms,60
deposit,withdrawal,checking,savings,atm options,medium,Noun/Concept Synonyms,61
finger roll,alley-oop,fadeaway,slam dunk,basketball shots,hard,Noun/Concept Synonyms,61
cheek,nerve,brass,sauce,brashness,very_hard,Noun/Concept Synonyms,61
skirt,duck,escape,dodge,avoid,easy,Noun/Concept Synonyms,61
rib,wing,dog,link,bbq offering,hard,Noun/Concept Synonyms,62
absent,present,late,excused,attendance status,medium,Noun/Concept Synonyms,62
fire,lit,sick,dope,awesome,easy,Noun/Concept Synonyms,62
telly,footy,chippy,butty,britishisms,very_hard,Noun/Concept Synonyms,62
blur,suede,oasis,pulp,britpop bands,very_hard,Trivia/Pop Culture,63
mushroom,snowball,swell,balloon,become larger,hard,Action/Verb Synonyms,63
hook,pull,grab,draw,attract,medium,Noun/Concept Synonyms,63
bacon,bread,lettuce,tomato,b.l.t. ingredients,easy,Noun/Concept Synonyms,63
stroller,bib,bottle,monitor,baby gear,easy,Noun/Concept Synonyms,64
super,ultra,hyper,uber,augmentative prefixes,medium,Word Structure/Play,64
wing,bill,nickel,soldier,buffalo ___,very_hard,Fill-in-the-Blank,64
stella,natty,bud,sierra,"beers, familiarly",hard,Descriptor/Adjective Synonyms,64
eerie,llama,aardvark,ooze,beginning with double letters,hard,Word Structure/Play,65
stick,pant,smite,blouse,bugs plus starting letter,very_hard,Word Structure/Play,65
bare,spare,plain,simple,austere,medium,Noun/Concept Synonyms,65
aegis,protection,guard,shield,backing,easy,Action/Verb Synonyms,65
freeze,lag,drop,echo,bad things for a video call to do,easy,Members of a Set/Entities,66
reverse,drive,neutral,park,automatic transmission settings,medium,Descriptor/Adjective Synonyms,66
foul,screw,muck,louse,"bungle, with “up”",very_hard,Noun/Concept Synonyms,66
buff,tan,fawn,cream,beige shades,hard,Noun/Concept Synonyms,66
span,section,suite,clef,c-___,very_hard,Fill-in-the-Blank,67
stone,madison,swank,foster,best actress oscar winners,hard,Trivia/Pop Culture,67
solo,free,stag,single,available,medium,Descriptor/Adjective Synonyms,67
sour,rank,foul,ripe,bad-smelling,easy,Action/Verb Synonyms,67
medal,cup,trophy,ribbon,awards,medium,Trivia/Pop Culture,68
vex,stump,puzzle,perplex,baffle,easy,Noun/Concept Synonyms,68
energy,state,justice,labor,cabinet departments,very_hard,Noun/Concept Synonyms,68
berry,berry,stone,swank,best actress oscar winners,hard,Trivia/Pop Culture,68
goober,kiss,dot,whopper,candy pieces,very_hard,Members of a Set/Entities,69
gladiator,crash,moonlight,chicago,best picture winners since 2000,hard,Trivia/Pop Culture,69
horsefeathers,hogwash,nonsense,crock,balderdash,easy,Noun/Concept Synonyms,69
kid,cub,calf,joey,baby animals,medium,Members of a Set/Entities,69
bunk,bull,hogwash,rot,balderdash,easy,Noun/Concept Synonyms,70
lip,sass,attitude,cheek,back talk,medium,Noun/Concept Synonyms,70
apple,bar,corn,cane,candy ___,very_hard,Fill-in-the-Blank,70
chalk,cue,rack,ball,billiards equipment,hard,Members of a Set/Entities,70
false,no,yes,true,binary question options,hard,Noun/Concept Synonyms,71
soul,roam,sophia,keto,capital city homophones,very_hard,Word Structure/Play,71
trope,platitude,chestnut,cliché,banality,easy,Descriptor/Adjective Synonyms,71
booty,bum,rear,can,backside,medium,Noun/Concept Synonyms,71
danish,muffin,turnover,bun,baked goods,medium,Noun/Concept Synonyms,72
tank,cylinder,cask,drum,barrel-shaped container,easy,Noun/Concept Synonyms,72
doge,aura,hoda,buck,car companies minus letter,very_hard,Word Structure/Play,72
gobble,coo,hoot,honk,bird onomatopoeia,hard,Noun/Concept Synonyms,72
kite,swallow,jay,turkey,birds,hard,Noun/Concept Synonyms,73
volt,focus,beetle,civic,car models,very_hard,Noun/Concept Synonyms,73
safe,ball,strike,out,baseball calls,easy,Noun/Concept Synonyms,73
knock,butt,ram,bump,bang into,medium,Noun/Concept Synonyms,73
happy hour,trivia night,karaoke,live music,bar events,medium,Noun/Concept Synonyms,74
joker,gummy,fridge,din,card games with first letter changed,very_hard,Word Structure/Play,74
crane,lark,swallow,jay,birds,hard,Noun/Concept Synonyms,74
ball,bat,glove,base,baseball equipment,easy,Members of a Set/Entities,74
up,left,right,down,basic directions,easy,Descriptor/Adjective Synonyms,75
stool,keg,counter,tap,bar fixtures,medium,Noun/Concept Synonyms,75
goof,lad,snoop,droop,cartoon dogs minus “y”,very_hard,Noun/Concept Synonyms,75
swift,robin,swift,cardinal,birds,hard,Noun/Concept Synonyms,75
puff,pebble,cheerio,flake,bit of breakfast cereal,hard,Noun/Concept Synonyms,76
jerry,speedy,pinky,itchy,cartoon mice,very_hard,Noun/Concept Synonyms,76
anger,surprise,fear,happiness,basic emotions,easy,Descriptor/Adjective Synonyms,76
spine,spur,thorn,sticker,barb,medium,Noun/Concept Synonyms,76
nap,walk,tail,fish,cat___,very_hard,Fill-in-the-Blank,77
wedge,zest,slice,twist,bit of citrus garnish,hard,Descriptor/Adjective Synonyms,77
length,area,volume,perimeter,basic geometric calculations,easy,Descriptor/Adjective Synonyms,77
buy,value,deal,steal,bargain,medium,Noun/Concept Synonyms,77
line,point,ray,segment,basic geometric objects,medium,Descriptor/Adjective Synonyms,78
cradle,pajamas,eye,meow,cat’s ___,very_hard,Fill-in-the-Blank,78
glob,tear,bead,drop,bit of liquid,hard,Noun/Concept Synonyms,78
sour,salty,bitter,sweet,basic tastes,easy,Descriptor/Adjective Synonyms,78
layup,floater,three,dunk,basketball shots,easy,Noun/Concept Synonyms,79
triangle,square,circle,diamond,basic two-dimensional shapes,medium,Descriptor/Adjective Synonyms,79
lucky,tony,pop,sam,cereal mascots,very_hard,Noun/Concept Synonyms,79
garland,confetti,balloon,banner,bit of party decoration,hard,Noun/Concept Synonyms,79
whale,moon,jay,jeans,blue ___,hard,Fill-in-the-Blank,80
work,function,operate,run,be in commission,medium,Noun/Concept Synonyms,80
store,letter,reaction,mail,chain ___,very_hard,Fill-in-the-Blank,80
chill,lounge,rest,loaf,be at leisure,easy,Noun/Concept Synonyms,80
han,song,tang,ming,chinese dynasties,very_hard,Noun/Concept Synonyms,81
hope,dole,ross,marley,bobs,hard,Noun/Concept Synonyms,81
surround,flank,bookend,bracket,be on both sides of,medium,Idioms & Slang,81
rest,rely,depend,hinge,be contingent (on),easy,Noun/Concept Synonyms,81
lead,run,direct,head,be in charge of,easy,Noun/Concept Synonyms,82
shore,coast,strand,bank,beachy area,medium,Noun/Concept Synonyms,82
sound,strait,canal,channel,bodies of water,hard,Noun/Concept Synonyms,82
horse,tiger,dragon,rabbit,chinese zodiac animals,very_hard,Members of a Set/Entities,82
part one,essays,a life,a novel,book subtitles,hard,Noun/Concept Synonyms,83
waver,waffle,hesitate,yo-yo,be indecisive,easy,Descriptor/Adjective Synonyms,83
skort,dover,marsh,crunchy,chocolate bars plus a letter,very_hard,Word Structure/Play,83
learn,realize,discover,find,become aware of,medium,Action/Verb Synonyms,83
roam,soul,niece,deli,city homophones,very_hard,Word Structure/Play,84
humor,romance,travel,fiction,bookstore sections,hard,Noun/Concept Synonyms,84
throw,sheet,sham,blanket,bedding,medium,Action/Verb Synonyms,84
showboat,swagger,grandstand,posture,be ostentatious,easy,Descriptor/Adjective Synonyms,84
hive,wax,honey,comb,bee creations,medium,Noun/Concept Synonyms,85
heat,armageddon,speed,hard boiled,classic '90s action films,very_hard,Trivia/Pop Culture,85
fava,lima,pinto,kidney,beans,easy,Noun/Concept Synonyms,85
strike,foul,spare,strike,bowling results,hard,Action/Verb Synonyms,85
sour,punch,sling,fizz,classic cocktail types,very_hard,Descriptor/Adjective Synonyms,86
sake,interest,advantage,benefit,behalf,medium,Noun/Concept Synonyms,86
turkey,double,spare,split,bowling results,hard,Action/Verb Synonyms,86
include,consider,factor,count,bear in mind,easy,Noun/Concept Synonyms,86
murphy,canopy,bunk,trundle,beds,easy,Noun/Concept Synonyms,87
cross,hook,bob,weave,boxing maneuvers,hard,Action/Verb Synonyms,87
bar,chicken,light bulb,knock-knock,classic joke staples,very_hard,Descriptor/Adjective Synonyms,87
whale,whopper,colossus,mammoth,behemoth,medium,Noun/Concept Synonyms,87
jab,cross,hook,uppercut,boxing punches,hard,Action/Verb Synonyms,88
dragon,heart,rose,anchor,classic tattoos,very_hard,Descriptor/Adjective Synonyms,88
genesis,birth,start,dawn,beginning,easy,Action/Verb Synonyms,88
close,tight,intimate,dear,"beloved, as a friend",medium,Noun/Concept Synonyms,88
hook,wire,strap,cup,bra parts,hard,Noun/Concept Synonyms,89
pinnacle,heyday,zenith,prime,best years,easy,Noun/Concept Synonyms,89
give,bow,cave,buckle,bend under pressure,medium,Noun/Concept Synonyms,89
mud,a bell,crystal,day,clear as ___,very_hard,Fill-in-the-Blank,89
sandwich,soda,med,music,club ___,very_hard,Fill-in-the-Blank,90
juice,punch,soda,milk,beverages,easy,Noun/Concept Synonyms,90
butter,jam,hot sauce,syrup,breakfast condiments,hard,Noun/Concept Synonyms,90
grant,vest,present,confer,bestow,medium,Noun/Concept Synonyms,90
nurse,rear,raise,foster,bring up,hard,Action/Verb Synonyms,91
mustard,scarlet,plum,green,clue characters,very_hard,Trivia/Pop Culture,91
napkin,cup,straw,lid,beverage self-service items,medium,Members of a Set/Entities,91
atom,molecule,protein,cell,biological building blocks,easy,Noun/Concept Synonyms,91
tundra,forest,desert,grassland,biomes,easy,Noun/Concept Synonyms,92
roast,scone,mash,trifle,british cuisine,hard,Descriptor/Adjective Synonyms,92
