word1,word2,word3,word4,category,difficulty,General Category,game_id
mood,quality,air,feeling,ambience,medium,Noun/Concept Synonyms,
easy,open,flexible,receptive,amenable,easy,Descriptor/Adjective Synonyms,
punt,snap,sack,fumble,american football actions,hard,Noun/Concept Synonyms,
end,center,safety,tackle,american football positions,hard,Noun/Concept Synonyms,
pound,olds,frost,bishop,american poets,hard,Noun/Concept Synonyms,
thatch,lock,tuft,shock,amounts of hair,medium,Noun/Concept Synonyms,
tilt-a-whirl,merry-go-round,roller coaster,ferris wheel,amusement park rides,easy,Noun/Concept Synonyms,
arts,nope,pone,rats,anagrams,hard,Word Structure/Play,
staple,pleats,tsar,pastel,anagrams,hard,Word Structure/Play,
peon,petals,star,open,anagrams,hard,Word Structure/Play,
abel,sera,ares,ears,anagrams,medium,Word Structure/Play,
bela,bale,live,veil,anagrams,medium,Word Structure/Play,
evil,able,sear,vile,anagrams,medium,Word Structure/Play,
tesla,stale,least,slate,anagrams,very_hard,Word Structure/Play,
monte,dial,yoga,egads,anagrams of famous painters,very_hard,Word Structure/Play,
groan,bulge,abut,voila,anagrams of musical instruments,very_hard,Word Structure/Play,
noise,static,snow,fuzz,analog tv interference,hard,Trivia/Pop Culture,
clay,papyrus,wax,parchment,ancient writing surfaces,easy,Noun/Concept Synonyms,
scales,down,shell,fur,animal coverings,hard,Noun/Concept Synonyms,
pride,herd,flock,pod,animal group names,easy,Members of a Set/Entities,
swarm,pack,colony,school,animal group names,easy,Members of a Set/Entities,
pride,pack,swarm,school,animal group names,hard,Members of a Set/Entities,
pride,school,herd,colony,animal groups,easy,Noun/Concept Synonyms,
den,hive,lair,nest,animal homes,easy,Noun/Concept Synonyms,
warren,lodge,den,burrow,animal homes,medium,Noun/Concept Synonyms,
dear,mousse,new,bare,animal homophones,hard,Word Structure/Play,
bore,towed,hoarse,links,animal homophones,very_hard,Word Structure/Play,
dear,phish,wail,hair,animal homophones,very_hard,Word Structure/Play,
bear,hawk,bull,dove,animal metaphors in economics,medium,Noun/Concept Synonyms,
beak,muzzle,trunk,snout,animal noses,medium,Noun/Concept Synonyms,
meow,oink,buzz,cluck,animal sounds,medium,Noun/Concept Synonyms,
tang,reed,drib,flow,animals backward,very_hard,Members of a Set/Entities,
wombat,geoduck,seahorse,titmouse,animals ending with animals,very_hard,Members of a Set/Entities,
newt,frog,bat,dog,animals in the witches' brew in “macbeth”,hard,Members of a Set/Entities,
anther,hark,easel,lama,animals minus starting letter,very_hard,Word Structure/Play,
lynx,ibex,oryx,fox,animals that end with “x”,medium,Members of a Set/Entities,
horsefly,bulldog,turtledove,catfish,animals whose names are two animals,easy,Members of a Set/Entities,
elephant,hippo,warthog,narwhal,animals with tusks,hard,Members of a Set/Entities,
trumpet,herald,broadcast,declare,announce,easy,Noun/Concept Synonyms,
bah,grinch,coal,naughty,anti-spirit of christmas,hard,Trivia/Pop Culture,
garlic,mirror,crucifix,stake,anti-vampire,medium,Noun/Concept Synonyms,
gov,chem,bio,stats,ap classes,hard,Noun/Concept Synonyms,
height,top,peak,max,apex,medium,Noun/Concept Synonyms,
shade,spirit,specter,wight,apparition,medium,Noun/Concept Synonyms,
phantom,ghost,spirit,specter,apparitions,medium,Noun/Concept Synonyms,
dress,manner,style,look,appearance,medium,Noun/Concept Synonyms,
arm,wing,fin,flipper,appendages,medium,Noun/Concept Synonyms,
popper,nacho,wing,fry,appetizer unit,easy,Noun/Concept Synonyms,
brandy,sauce,cider,butter,apple products,hard,Noun/Concept Synonyms,
crush,squash,press,mash,apply pressure to,medium,Noun/Concept Synonyms,
duration,location,time,date,appointment specifications,medium,Noun/Concept Synonyms,
thanks,credit,praise,recognition,appreciation,easy,Noun/Concept Synonyms,
thumbs-up,clearance,green light,go-ahead,approval,medium,Noun/Concept Synonyms,
rough,broad,ballpark,general,approximate,easy,Noun/Concept Synonyms,
like,roughly,about,around,approximately,easy,Descriptor/Adjective Synonyms,
bent,gift,flair,flair,aptitude,easy,Noun/Concept Synonyms,
nose,faculty,instinct,gift,aptitude,easy,Noun/Concept Synonyms,
pump,rocks,tank,filter,aquarium purchases,hard,Noun/Concept Synonyms,
mite,scorpion,spider,tick,arachnids,easy,Noun/Concept Synonyms,
chair,judge,mediate,moderate,arbitrate,easy,Noun/Concept Synonyms,
rainbow,flight path,eyebrow,banana,arc-shaped things,medium,Members of a Set/Entities,
hawkeye,cupid,robin hood,sagittarius,archers,medium,Noun/Concept Synonyms,
bow,target,arrow,quiver,archery equipment,easy,Members of a Set/Entities,
ruler,stencil,t-square,compass,architectural drawing tools,hard,Members of a Set/Entities,
get it,capisce,understand,see,are we clear?,hard,Idioms & Slang,
specialty,field,concentration,focus,area of expertise,easy,Noun/Concept Synonyms,
bank,mound,hill,dune,area of high ground,easy,Noun/Concept Synonyms,
pass,ravine,gulch,canyon,areas between mountains and hills,easy,Idioms & Slang,
concentration,major,degree,minor,areas of academic focus,medium,Descriptor/Adjective Synonyms,
hippodrome,coliseum,bowl,stadium,arena,medium,Noun/Concept Synonyms,
subtract,add,multiply,divide,arithmetic operations,medium,Descriptor/Adjective Synonyms,
major,private,general,captain,army ranks,easy,Noun/Concept Synonyms,
paint,charcoal,pastel,ink,art mediums,hard,Noun/Concept Synonyms,
gothic,deco,dada,pop,art movements,medium,Noun/Concept Synonyms,
manner,surreal,romantic,expression,"art movements, with -ism",very_hard,Noun/Concept Synonyms,
mite,aphid,beetle,tick,arthropods,easy,Noun/Concept Synonyms,
station,job,position,post,assignment,medium,Noun/Concept Synonyms,
light,yang,masculine,expansive,associated principles in chinese philosophy,very_hard,Idioms & Slang,
pencil,derek jeter,silver medal,deputy,associated with #2,very_hard,Noun/Concept Synonyms,
taurus,rodeo,wall street,michael jordan,associated with bulls,hard,Noun/Concept Synonyms,
bat,castle,cape,fang,associated with count dracula,medium,Noun/Concept Synonyms,
rooster,sunrise,dew,worm,associated with early morning,hard,Noun/Concept Synonyms,
slip,oedipus,dreams,id,associated with freud,medium,Noun/Concept Synonyms,
ladybug,shamrock,horseshoe,penny,associated with good luck,easy,Noun/Concept Synonyms,
steel,diamond,rock,nails,associated with hardness,hard,Noun/Concept Synonyms,
pipe,forearm,spinach,anchor,associated with popeye,hard,Noun/Concept Synonyms,
leprechaun,unicorn,pride,dorothy gale,associated with rainbows,hard,Noun/Concept Synonyms,
fish,libra,solfege,justice,associated with scales,hard,Noun/Concept Synonyms,
dysentery,ford,hunt,oxen,associated with the game the oregon trail,hard,Idioms & Slang,
lamp,blue,wishes,earring,associated with the genie in “aladdin”,hard,Idioms & Slang,
con game,hearts,halloween,magic show,associated with tricks,very_hard,Noun/Concept Synonyms,
infant,swimming,ticker,pub,associated with “crawl”,very_hard,Noun/Concept Synonyms,
chocolate,pigeon,peace,soap,associated with “dove”,hard,Noun/Concept Synonyms,
cyclops,solitaire,unicycle,monologue,associated with “one”,very_hard,Noun/Concept Synonyms,
cigarette,ticket,toe,pencil,associated with “stub”,hard,Noun/Concept Synonyms,
bathrobe,bowling,rug,white russian,associated with “the dude” lebowski,very_hard,Idioms & Slang,
cinch,lock,secure,ice,"assure, as a victory",medium,Descriptor/Adjective Synonyms,
lock,secure,clinch,guarantee,"assure, as a win",medium,Noun/Concept Synonyms,
later,next,soon,eventually,at some future point,easy,Noun/Concept Synonyms,
deposit,balance,transfer,withdrawal,atm options,hard,Noun/Concept Synonyms,
deposit,withdrawal,checking,savings,atm options,medium,Noun/Concept Synonyms,
stick,paste,stick,affix,attach with adhesive,easy,Descriptor/Adjective Synonyms,
adhere,glue,glue,adhere,attach with adhesive,easy,Descriptor/Adjective Synonyms,
earn,land,win,score,attain,easy,Noun/Concept Synonyms,
absent,present,late,excused,attendance status,medium,Noun/Concept Synonyms,
duds,getup,threads,fit,attire,easy,Noun/Concept Synonyms,
hook,pull,grab,draw,attract,medium,Noun/Concept Synonyms,
draw,charm,pull,appeal,attraction,hard,Noun/Concept Synonyms,
liberty bell,tower of pisa,venus de milo,statue of liberty,attractions iconically different from their original forms,hard,Idioms & Slang,
bare,unclad,nude,naked,au naturel,easy,Noun/Concept Synonyms,
shazam,tidal,audible,pandora,audio apps,easy,Noun/Concept Synonyms,
super,ultra,hyper,uber,augmentative prefixes,medium,Word Structure/Play,
bare,spare,plain,simple,austere,medium,Noun/Concept Synonyms,
crikey,bush,barbie,mate,australian terms,hard,Noun/Concept Synonyms,
reverse,drive,neutral,low,automatic gear shifter positions,hard,Descriptor/Adjective Synonyms,
reverse,drive,neutral,park,automatic transmission settings,medium,Descriptor/Adjective Synonyms,
solo,free,stag,single,available,medium,Descriptor/Adjective Synonyms,
fifth,broadway,park,madison,avenues in n.y.c.,hard,Noun/Concept Synonyms,
standard,mean,norm,par,average,easy,Noun/Concept Synonyms,
skirt,duck,escape,dodge,avoid,easy,Noun/Concept Synonyms,
medal,cup,trophy,ribbon,awards,medium,Trivia/Pop Culture,
fire,lit,sick,dope,awesome,easy,Noun/Concept Synonyms,
movie,ball,school,vitamin,b-___,very_hard,Fill-in-the-Blank,
bacon,bread,lettuce,tomato,b.l.t. ingredients,easy,Noun/Concept Synonyms,
kit,calf,cub,fawn,baby animals,hard,Members of a Set/Entities,
kid,cub,calf,joey,baby animals,medium,Members of a Set/Entities,
stroller,bib,bottle,monitor,baby gear,easy,Noun/Concept Synonyms,
carrot,shower,boom,talk,baby ___,very_hard,Fill-in-the-Blank,
steps,blues,boomer,teeth,baby ___,very_hard,Fill-in-the-Blank,
lip,sass,attitude,cheek,back talk,medium,Noun/Concept Synonyms,
aegis,protection,guard,shield,backing,easy,Action/Verb Synonyms,
booty,bum,rear,can,backside,medium,Noun/Concept Synonyms,
mar,god,tab,flow,backwards animals,very_hard,Members of a Set/Entities,
whiff,slice,shank,hook,bad golf shots,hard,Descriptor/Adjective Synonyms,
freeze,lag,drop,echo,bad things for a video call to do,easy,Members of a Set/Entities,
quit,freeze,timeout,glitch,bad things for a website to do,hard,Members of a Set/Entities,
sour,rank,foul,ripe,bad-smelling,easy,Action/Verb Synonyms,
heel,dog,jerk,snake,baddie,very_hard,Noun/Concept Synonyms,
vex,stump,puzzle,perplex,baffle,easy,Noun/Concept Synonyms,
onion,poppy,everything,plain,bagel flavors,hard,Noun/Concept Synonyms,
danish,muffin,turnover,bun,baked goods,medium,Noun/Concept Synonyms,
horsefeathers,hogwash,nonsense,crock,balderdash,easy,Noun/Concept Synonyms,
bunk,bull,hogwash,rot,balderdash,easy,Noun/Concept Synonyms,
trope,platitude,chestnut,cliché,banality,easy,Descriptor/Adjective Synonyms,
split,boat,bread,slug,banana ___,very_hard,Fill-in-the-Blank,
floyd,day,stripes,sabbath,band names minus colors,very_hard,Members of a Set/Entities,
maroon,sum,u,blink,band names minus numbers,very_hard,Members of a Set/Entities,
maroon,jackson,ben folds,mc,bands minus the number five,very_hard,Trivia/Pop Culture,
knock,butt,ram,bump,bang into,medium,Noun/Concept Synonyms,
happy hour,trivia night,karaoke,live music,bar events,medium,Noun/Concept Synonyms,
stool,keg,counter,tap,bar fixtures,medium,Noun/Concept Synonyms,
exam,mitzvah,soap,chart,bar ___,very_hard,Fill-in-the-Blank,
spine,spur,thorn,sticker,barb,medium,Noun/Concept Synonyms,
buy,value,deal,steal,bargain,medium,Noun/Concept Synonyms,
tank,cylinder,cask,drum,barrel-shaped container,easy,Noun/Concept Synonyms,
safe,ball,strike,out,baseball calls,easy,Noun/Concept Synonyms,
foul,out,ball,fair,baseball calls,hard,Noun/Concept Synonyms,
ball,bat,glove,base,baseball equipment,easy,Members of a Set/Entities,
mantle,bonds,trout,young,baseball greats,very_hard,Noun/Concept Synonyms,
run,walk,double,hit,baseball stats,hard,Noun/Concept Synonyms,
diamond,stadium,park,field,baseball venues,hard,Noun/Concept Synonyms,
up,left,right,down,basic directions,easy,Descriptor/Adjective Synonyms,
anger,surprise,fear,happiness,basic emotions,easy,Descriptor/Adjective Synonyms,
length,area,volume,perimeter,basic geometric calculations,easy,Descriptor/Adjective Synonyms,
line,point,ray,segment,basic geometric objects,medium,Descriptor/Adjective Synonyms,
sour,salty,bitter,sweet,basic tastes,easy,Descriptor/Adjective Synonyms,
triangle,square,circle,diamond,basic two-dimensional shapes,medium,Descriptor/Adjective Synonyms,
dribble,block,pass,shoot,basketball moves,hard,Noun/Concept Synonyms,
layup,floater,three,dunk,basketball shots,easy,Noun/Concept Synonyms,
finger roll,alley-oop,fadeaway,slam dunk,basketball shots,hard,Noun/Concept Synonyms,
rib,wing,dog,link,bbq offering,hard,Noun/Concept Synonyms,
chill,lounge,rest,loaf,be at leisure,easy,Noun/Concept Synonyms,
rest,rely,depend,hinge,be contingent (on),easy,Noun/Concept Synonyms,
lead,run,direct,head,be in charge of,easy,Noun/Concept Synonyms,
work,function,operate,run,be in commission,medium,Noun/Concept Synonyms,
waver,waffle,hesitate,yo-yo,be indecisive,easy,Descriptor/Adjective Synonyms,
surround,flank,bookend,bracket,be on both sides of,medium,Idioms & Slang,
showboat,swagger,grandstand,posture,be ostentatious,easy,Descriptor/Adjective Synonyms,
shore,coast,strand,bank,beachy area,medium,Noun/Concept Synonyms,
dip,sprout,counter,bag,bean ___,very_hard,Fill-in-the-Blank,
fava,lima,pinto,kidney,beans,easy,Noun/Concept Synonyms,
include,consider,factor,count,bear in mind,easy,Noun/Concept Synonyms,
hug,witness,claw,fruit,bear ___,very_hard,Fill-in-the-Blank,
learn,realize,discover,find,become aware of,medium,Action/Verb Synonyms,
mushroom,snowball,swell,balloon,become larger,hard,Action/Verb Synonyms,
throw,sheet,sham,blanket,bedding,medium,Action/Verb Synonyms,
murphy,canopy,bunk,trundle,beds,easy,Noun/Concept Synonyms,
hive,wax,honey,comb,bee creations,medium,Noun/Concept Synonyms,
batter,garden,pong,can,beer ___,very_hard,Fill-in-the-Blank,
stella,natty,bud,sierra,"beers, familiarly",hard,Descriptor/Adjective Synonyms,
genesis,birth,start,dawn,beginning,easy,Action/Verb Synonyms,
sundry,friar,monkey,wedding,beginning with day abbreviations,very_hard,Action/Verb Synonyms,
eerie,llama,aardvark,ooze,beginning with double letters,hard,Word Structure/Play,
forehead,fievel,toucan,wonder,beginning with number homophones,very_hard,Word Structure/Play,
buttermilk,bumper-to-bumper,rumpelstiltskin,tailgate,beginning with synonyms for rear end,very_hard,Idioms & Slang,
sake,interest,advantage,benefit,behalf,medium,Noun/Concept Synonyms,
whale,whopper,colossus,mammoth,behemoth,medium,Noun/Concept Synonyms,
buff,tan,fawn,cream,beige shades,hard,Noun/Concept Synonyms,
button,flop,dance,laugh,belly ___,very_hard,Fill-in-the-Blank,
close,tight,intimate,dear,"beloved, as a friend",medium,Noun/Concept Synonyms,
give,bow,cave,buckle,bend under pressure,medium,Noun/Concept Synonyms,
ray,milk,capote,lincoln,best actor-winning biopics,very_hard,Trivia/Pop Culture,
stone,madison,swank,foster,best actress oscar winners,hard,Trivia/Pop Culture,
berry,berry,stone,swank,best actress oscar winners,hard,Trivia/Pop Culture,
frozen,up,flow,brave,best animated feature oscar winners,very_hard,Trivia/Pop Culture,
bong,lee,stone,ford,best director oscar winners,very_hard,Trivia/Pop Culture,
apple,crow,turner,summer,best female rock performance grammy winners,very_hard,Trivia/Pop Culture,
gladiator,crash,moonlight,chicago,best picture winners since 2000,hard,Trivia/Pop Culture,
pinnacle,heyday,zenith,prime,best years,easy,Noun/Concept Synonyms,
grant,vest,present,confer,bestow,medium,Noun/Concept Synonyms,
napkin,cup,straw,lid,beverage self-service items,medium,Members of a Set/Entities,
juice,punch,soda,milk,beverages,easy,Noun/Concept Synonyms,
job,acts,mark,kings,bible books,medium,Descriptor/Adjective Synonyms,
splash,impact,footprint,mark,big impression,medium,Descriptor/Adjective Synonyms,
brake,chain,spoke,pedal,bike parts,medium,Noun/Concept Synonyms,
gear,saddle,handlebar,wheel,bike parts,medium,Noun/Concept Synonyms,
chalk,cue,rack,ball,billiards equipment,hard,Members of a Set/Entities,
false,no,yes,true,binary question options,hard,Noun/Concept Synonyms,
atom,molecule,protein,cell,biological building blocks,easy,Noun/Concept Synonyms,
tundra,forest,desert,grassland,biomes,easy,Noun/Concept Synonyms,
jobs,vice,milk,blonde,biopics,very_hard,Noun/Concept Synonyms,
wing,feather,beak,talon,bird features,easy,Noun/Concept Synonyms,
gobble,coo,hoot,honk,bird onomatopoeia,hard,Noun/Concept Synonyms,
swank,crowd,gully,puffing,bird plus letter,very_hard,Word Structure/Play,
tweet,chirp,caw,cluck,bird sounds,easy,Noun/Concept Synonyms,
kite,swallow,jay,turkey,birds,hard,Noun/Concept Synonyms,
crane,lark,swallow,jay,birds,hard,Noun/Concept Synonyms,
swift,robin,swift,cardinal,birds,hard,Noun/Concept Synonyms,
condo,loo,hero,rave,birds minus last letter,very_hard,Word Structure/Play,
cran,flaming,haw,hero,birds minus last letter,very_hard,Word Structure/Play,
duck,grouse,swallow,hawk,birds that are verbs,medium,Noun/Concept Synonyms,
suggestion,tip,trick,pointer,bit of advice,easy,Noun/Concept Synonyms,
puff,pebble,cheerio,flake,bit of breakfast cereal,hard,Noun/Concept Synonyms,
wedge,zest,slice,twist,bit of citrus garnish,hard,Descriptor/Adjective Synonyms,
high,kick,rush,thrill,bit of excitement,easy,Noun/Concept Synonyms,
tress,ringlet,curl,lock,bit of hair,easy,Noun/Concept Synonyms,
report,article,story,feature,bit of journalism,medium,Noun/Concept Synonyms,
parcel,patch,plot,bed,bit of land for growing,medium,Idioms & Slang,
act,bill,resolution,measure,bit of legislation,easy,Noun/Concept Synonyms,
glob,tear,bead,drop,bit of liquid,hard,Noun/Concept Synonyms,
hex,charm,spell,curse,bit of magic,easy,Descriptor/Adjective Synonyms,
article,story,column,feature,bit of newspaper writing,easy,Noun/Concept Synonyms,
garland,confetti,balloon,banner,bit of party decoration,hard,Noun/Concept Synonyms,
drill,exercise,practice,routine,bit of repetitive training,medium,Descriptor/Adjective Synonyms,
dip,wing,chip,fry,bit of sports bar fare,medium,Members of a Set/Entities,
presto,voila,behold,tada,bit of vocal fanfare,medium,Noun/Concept Synonyms,
draft,breeze,puff,gust,bit of wind,medium,Noun/Concept Synonyms,
dance,monologue,song,sketch,bits in a variety show,medium,Trivia/Pop Culture,
screw,nut,washer,nail,bits of hardware,easy,Noun/Concept Synonyms,
kernel,tidbit,pearl,nugget,bits of wisdom,medium,Noun/Concept Synonyms,
raven,inky,jet,pitch,black,medium,Noun/Concept Synonyms,
balance sheet,roulette,checkers,licorice,black or red,very_hard,Noun/Concept Synonyms,
gay,butler,hooks,walker,black women authors,very_hard,Trivia/Pop Culture,
panda,skunk,zebra,orca,black-and-white animals,easy,Members of a Set/Entities,
oreo,zebra,tuxedo,yin-yang symbol,black-and-white things,easy,Members of a Set/Entities,
domino,piano keys,crossword,panda,black-and-white things,easy,Members of a Set/Entities,
orca,oreo,domino,crossword,black-and-white things,medium,Members of a Set/Entities,
split,hit,bust,stand,blackjack terms,very_hard,Noun/Concept Synonyms,
mar,ding,scratch,dent,blemish,easy,Descriptor/Adjective Synonyms,
puree,grind,pulse,chop,blender buttons,medium,Noun/Concept Synonyms,
wink,heartbeat,second,flash,blink of an eye,medium,Noun/Concept Synonyms,
seal,plug,stop,close,"block, as an opening",easy,Noun/Concept Synonyms,
sensation,hit,success,smash,blockbuster,medium,Noun/Concept Synonyms,
whale,moon,jay,jeans,blue ___,hard,Fill-in-the-Blank,
boo-boo,no-no,flub,gaffe,blunder,easy,Noun/Concept Synonyms,
boo-boo,goof,gaffe,flub,blunder,easy,Noun/Concept Synonyms,
sorry,chess,backgammon,go,board games,easy,Noun/Concept Synonyms,
checkers,trouble,taboo,risk,board games,easy,Noun/Concept Synonyms,
sorry,trouble,clue,risk,board games,medium,Noun/Concept Synonyms,
bluster,show off,strut,crow,boast,easy,Noun/Concept Synonyms,
ferry,junk,tug,yacht,boats,easy,Noun/Concept Synonyms,
barge,scow,dory,sloop,boats,medium,Noun/Concept Synonyms,
hope,dole,ross,marley,bobs,hard,Noun/Concept Synonyms,
sound,strait,canal,channel,bodies of water,hard,Noun/Concept Synonyms,
sound,bay,channel,strait,bodies of water,medium,Noun/Concept Synonyms,
driver,finlet,flake,ebay,bodies of water plus starting letter,very_hard,Word Structure/Play,
rankle,lear,ship,barm,body part plus a starting letter,very_hard,Word Structure/Play,
arm,hip,eye,leg,body parts,easy,Noun/Concept Synonyms,
toes,knees,shoulders,head,"body parts in “head, shoulders, knees and toes”",easy,Idioms & Slang,
shiny,livery,army,colony,"body parts plus ""y""",very_hard,Idioms & Slang,
hearth,shine,china,butte,body parts plus letter,very_hard,Word Structure/Play,
squats,lunges,dips,planks,bodyweight exercises,easy,Noun/Concept Synonyms,
nerve,gall,guts,stones,"boldness, figuratively",medium,Descriptor/Adjective Synonyms,
index,chapter,appendix,preface,book sections,medium,Noun/Concept Synonyms,
part one,essays,a life,a novel,book subtitles,hard,Noun/Concept Synonyms,
band,florist,officiant,caterer,booked for a wedding,medium,Noun/Concept Synonyms,
humor,romance,travel,fiction,bookstore sections,hard,Noun/Concept Synonyms,
travel,humor,poetry,fiction,bookstore sections,medium,Noun/Concept Synonyms,
pod,shell,husk,hull,botanical coverings,medium,Noun/Concept Synonyms,
evian,dasani,fiji,voss,bottled water brands,easy,Members of a Set/Entities,
edge,border,extremity,limit,boundary,easy,Descriptor/Adjective Synonyms,
buffalo,goat,cow,sheep,bovids,easy,Noun/Concept Synonyms,
