word1,word2,word3,word4,category,difficulty
bear,hawk,bull,dove,animal metaphors in economics,medium
beak,muzzle,trunk,snout,animal noses,medium
meow,oink,buzz,cluck,animal sounds,medium
tang,reed,drib,flow,animals backward,very_hard
wombat,geoduck,seahorse,titmouse,animals ending with animals,very_hard
newt,frog,bat,dog,animals in the witches' brew in “macbeth”,hard
anther,hark,easel,lama,animals minus starting letter,very_hard
lynx,ibex,oryx,fox,animals that end with “x”,medium
horsefly,bulldog,turtledove,catfish,animals whose names are two animals,easy
elephant,hippo,warthog,narwhal,animals with tusks,hard
trumpet,herald,broadcast,declare,announce,easy
bah,grinch,coal,naughty,anti-spirit of christmas,hard
garlic,mirror,crucifix,stake,anti-vampire,medium
gov,chem,bio,stats,ap classes,hard
height,top,peak,max,apex,medium
shade,spirit,specter,wight,apparition,medium
phantom,ghost,spirit,specter,apparitions,medium
dress,manner,style,look,appearance,medium
arm,wing,fin,flipper,appendages,medium
popper,nacho,wing,fry,appetizer unit,easy
brandy,sauce,cider,butter,apple products,hard
crush,squash,press,mash,apply pressure to,medium
duration,location,time,date,appointment specifications,medium
thanks,credit,praise,recognition,appreciation,easy
thumbs-up,clearance,green light,go-ahead,approval,medium
rough,broad,ballpark,general,approximate,easy
like,roughly,about,around,approximately,easy
bent,gift,flair,flair,aptitude,easy
nose,faculty,instinct,gift,aptitude,easy
pump,rocks,tank,filter,aquarium purchases,hard
mite,scorpion,spider,tick,arachnids,easy
chair,judge,mediate,moderate,arbitrate,easy
rainbow,flight path,eyebrow,banana,arc-shaped things,medium
hawkeye,cupid,robin hood,sagittarius,archers,medium
bow,target,arrow,quiver,archery equipment,easy
ruler,stencil,t-square,compass,architectural drawing tools,hard
get it,capisce,understand,see,are we clear?,hard
specialty,field,concentration,focus,area of expertise,easy
bank,mound,hill,dune,area of high ground,easy
pass,ravine,gulch,canyon,areas between mountains and hills,easy
concentration,major,degree,minor,areas of academic focus,medium
hippodrome,coliseum,bowl,stadium,arena,medium
subtract,add,multiply,divide,arithmetic operations,medium
major,private,general,captain,army ranks,easy
paint,charcoal,pastel,ink,art mediums,hard
gothic,deco,dada,pop,art movements,medium
manner,surreal,romantic,expression,"art movements, with -ism",very_hard
mite,aphid,beetle,tick,arthropods,easy
station,job,position,post,assignment,medium
light,yang,masculine,expansive,associated principles in chinese philosophy,very_hard
pencil,derek jeter,silver medal,deputy,associated with #2,very_hard
taurus,rodeo,wall street,michael jordan,associated with bulls,hard
bat,castle,cape,fang,associated with count dracula,medium
rooster,sunrise,dew,worm,associated with early morning,hard
slip,oedipus,dreams,id,associated with freud,medium
ladybug,shamrock,horseshoe,penny,associated with good luck,easy
steel,diamond,rock,nails,associated with hardness,hard
pipe,forearm,spinach,anchor,associated with popeye,hard
leprechaun,unicorn,pride,dorothy gale,associated with rainbows,hard
fish,libra,solfege,justice,associated with scales,hard
dysentery,ford,hunt,oxen,associated with the game the oregon trail,hard
lamp,blue,wishes,earring,associated with the genie in “aladdin”,hard
con game,hearts,halloween,magic show,associated with tricks,very_hard
infant,swimming,ticker,pub,associated with “crawl”,very_hard
chocolate,pigeon,peace,soap,associated with “dove”,hard
cyclops,solitaire,unicycle,monologue,associated with “one”,very_hard
cigarette,ticket,toe,pencil,associated with “stub”,hard
bathrobe,bowling,rug,white russian,associated with “the dude” lebowski,very_hard
cinch,lock,secure,ice,"assure, as a victory",medium
lock,secure,clinch,guarantee,"assure, as a win",medium
later,next,soon,eventually,at some future point,easy
deposit,balance,transfer,withdrawal,atm options,hard
deposit,withdrawal,checking,savings,atm options,medium
stick,paste,stick,affix,attach with adhesive,easy
adhere,glue,glue,adhere,attach with adhesive,easy
earn,land,win,score,attain,easy
absent,present,late,excused,attendance status,medium
duds,getup,threads,fit,attire,easy
hook,pull,grab,draw,attract,medium
draw,charm,pull,appeal,attraction,hard
liberty bell,tower of pisa,venus de milo,statue of liberty,attractions iconically different from their original forms,hard
bare,unclad,nude,naked,au naturel,easy
shazam,tidal,audible,pandora,audio apps,easy
super,ultra,hyper,uber,augmentative prefixes,medium
bare,spare,plain,simple,austere,medium
crikey,bush,barbie,mate,australian terms,hard
reverse,drive,neutral,low,automatic gear shifter positions,hard
reverse,drive,neutral,park,automatic transmission settings,medium
solo,free,stag,single,available,medium
fifth,broadway,park,madison,avenues in n.y.c.,hard
standard,mean,norm,par,average,easy
skirt,duck,escape,dodge,avoid,easy
medal,cup,trophy,ribbon,awards,medium
fire,lit,sick,dope,awesome,easy
movie,ball,school,vitamin,b-___,very_hard
bacon,bread,lettuce,tomato,b.l.t. ingredients,easy
kit,calf,cub,fawn,baby animals,hard
kid,cub,calf,joey,baby animals,medium
stroller,bib,bottle,monitor,baby gear,easy
carrot,shower,boom,talk,baby ___,very_hard
steps,blues,boomer,teeth,baby ___,very_hard
lip,sass,attitude,cheek,back talk,medium
aegis,protection,guard,shield,backing,easy
booty,bum,rear,can,backside,medium
mar,god,tab,flow,backwards animals,very_hard
whiff,slice,shank,hook,bad golf shots,hard
freeze,lag,drop,echo,bad things for a video call to do,easy
quit,freeze,timeout,glitch,bad things for a website to do,hard
sour,rank,foul,ripe,bad-smelling,easy
heel,dog,jerk,snake,baddie,very_hard
vex,stump,puzzle,perplex,baffle,easy
onion,poppy,everything,plain,bagel flavors,hard
danish,muffin,turnover,bun,baked goods,medium
horsefeathers,hogwash,nonsense,crock,balderdash,easy
bunk,bull,hogwash,rot,balderdash,easy
trope,platitude,chestnut,cliché,banality,easy
split,boat,bread,slug,banana ___,very_hard
floyd,day,stripes,sabbath,band names minus colors,very_hard
maroon,sum,u,blink,band names minus numbers,very_hard
maroon,jackson,ben folds,mc,bands minus the number five,very_hard
knock,butt,ram,bump,bang into,medium
happy hour,trivia night,karaoke,live music,bar events,medium
stool,keg,counter,tap,bar fixtures,medium
exam,mitzvah,soap,chart,bar ___,very_hard
spine,spur,thorn,sticker,barb,medium
buy,value,deal,steal,bargain,medium
tank,cylinder,cask,drum,barrel-shaped container,easy
safe,ball,strike,out,baseball calls,easy
foul,out,ball,fair,baseball calls,hard
ball,bat,glove,base,baseball equipment,easy
mantle,bonds,trout,young,baseball greats,very_hard
run,walk,double,hit,baseball stats,hard
diamond,stadium,park,field,baseball venues,hard
up,left,right,down,basic directions,easy
anger,surprise,fear,happiness,basic emotions,easy
length,area,volume,perimeter,basic geometric calculations,easy
line,point,ray,segment,basic geometric objects,medium
sour,salty,bitter,sweet,basic tastes,easy
triangle,square,circle,diamond,basic two-dimensional shapes,medium
dribble,block,pass,shoot,basketball moves,hard
layup,floater,three,dunk,basketball shots,easy
finger roll,alley-oop,fadeaway,slam dunk,basketball shots,hard
rib,wing,dog,link,bbq offering,hard
chill,lounge,rest,loaf,be at leisure,easy
rest,rely,depend,hinge,be contingent (on),easy
lead,run,direct,head,be in charge of,easy
work,function,operate,run,be in commission,medium
waver,waffle,hesitate,yo-yo,be indecisive,easy
surround,flank,bookend,bracket,be on both sides of,medium
showboat,swagger,grandstand,posture,be ostentatious,easy
shore,coast,strand,bank,beachy area,medium
dip,sprout,counter,bag,bean ___,very_hard
fava,lima,pinto,kidney,beans,easy
include,consider,factor,count,bear in mind,easy
hug,witness,claw,fruit,bear ___,very_hard
learn,realize,discover,find,become aware of,medium
mushroom,snowball,swell,balloon,become larger,hard
throw,sheet,sham,blanket,bedding,medium
murphy,canopy,bunk,trundle,beds,easy
hive,wax,honey,comb,bee creations,medium
batter,garden,pong,can,beer ___,very_hard
stella,natty,bud,sierra,"beers, familiarly",hard
genesis,birth,start,dawn,beginning,easy
sundry,friar,monkey,wedding,beginning with day abbreviations,very_hard
eerie,llama,aardvark,ooze,beginning with double letters,hard
forehead,fievel,toucan,wonder,beginning with number homophones,very_hard
buttermilk,bumper-to-bumper,rumpelstiltskin,tailgate,beginning with synonyms for rear end,very_hard
sake,interest,advantage,benefit,behalf,medium
whale,whopper,colossus,mammoth,behemoth,medium
buff,tan,fawn,cream,beige shades,hard
button,flop,dance,laugh,belly ___,very_hard
close,tight,intimate,dear,"beloved, as a friend",medium
give,bow,cave,buckle,bend under pressure,medium
ray,milk,capote,lincoln,best actor-winning biopics,very_hard
stone,madison,swank,foster,best actress oscar winners,hard
berry,berry,stone,swank,best actress oscar winners,hard
frozen,up,flow,brave,best animated feature oscar winners,very_hard
bong,lee,stone,ford,best director oscar winners,very_hard
apple,crow,turner,summer,best female rock performance grammy winners,very_hard
gladiator,crash,moonlight,chicago,best picture winners since 2000,hard
pinnacle,heyday,zenith,prime,best years,easy
grant,vest,present,confer,bestow,medium
napkin,cup,straw,lid,beverage self-service items,medium
juice,punch,soda,milk,beverages,easy
job,acts,mark,kings,bible books,medium
splash,impact,footprint,mark,big impression,medium
brake,chain,spoke,pedal,bike parts,medium
gear,saddle,handlebar,wheel,bike parts,medium
chalk,cue,rack,ball,billiards equipment,hard
false,no,yes,true,binary question options,hard
atom,molecule,protein,cell,biological building blocks,easy
tundra,forest,desert,grassland,biomes,easy
jobs,vice,milk,blonde,biopics,very_hard
wing,feather,beak,talon,bird features,easy
gobble,coo,hoot,honk,bird onomatopoeia,hard
swank,crowd,gully,puffing,bird plus letter,very_hard
tweet,chirp,caw,cluck,bird sounds,easy
kite,swallow,jay,turkey,birds,hard
crane,lark,swallow,jay,birds,hard
swift,robin,swift,cardinal,birds,hard
condo,loo,hero,rave,birds minus last letter,very_hard
cran,flaming,haw,hero,birds minus last letter,very_hard
duck,grouse,swallow,hawk,birds that are verbs,medium
suggestion,tip,trick,pointer,bit of advice,easy
puff,pebble,cheerio,flake,bit of breakfast cereal,hard
wedge,zest,slice,twist,bit of citrus garnish,hard
high,kick,rush,thrill,bit of excitement,easy
tress,ringlet,curl,lock,bit of hair,easy
report,article,story,feature,bit of journalism,medium
parcel,patch,plot,bed,bit of land for growing,medium
act,bill,resolution,measure,bit of legislation,easy
glob,tear,bead,drop,bit of liquid,hard
hex,charm,spell,curse,bit of magic,easy
article,story,column,feature,bit of newspaper writing,easy
garland,confetti,balloon,banner,bit of party decoration,hard
drill,exercise,practice,routine,bit of repetitive training,medium
dip,wing,chip,fry,bit of sports bar fare,medium
presto,voila,behold,tada,bit of vocal fanfare,medium
draft,breeze,puff,gust,bit of wind,medium
dance,monologue,song,sketch,bits in a variety show,medium
screw,nut,washer,nail,bits of hardware,easy
kernel,tidbit,pearl,nugget,bits of wisdom,medium
raven,inky,jet,pitch,black,medium
balance sheet,roulette,checkers,licorice,black or red,very_hard
gay,butler,hooks,walker,black women authors,very_hard
panda,skunk,zebra,orca,black-and-white animals,easy
oreo,zebra,tuxedo,yin-yang symbol,black-and-white things,easy
domino,piano keys,crossword,panda,black-and-white things,easy
orca,oreo,domino,crossword,black-and-white things,medium
split,hit,bust,stand,blackjack terms,very_hard
mar,ding,scratch,dent,blemish,easy
puree,grind,pulse,chop,blender buttons,medium
wink,heartbeat,second,flash,blink of an eye,medium
seal,plug,stop,close,"block, as an opening",easy
sensation,hit,success,smash,blockbuster,medium
whale,moon,jay,jeans,blue ___,hard
boo-boo,no-no,flub,gaffe,blunder,easy
boo-boo,goof,gaffe,flub,blunder,easy
sorry,chess,backgammon,go,board games,easy
checkers,trouble,taboo,risk,board games,easy
sorry,trouble,clue,risk,board games,medium
bluster,show off,strut,crow,boast,easy
ferry,junk,tug,yacht,boats,easy
barge,scow,dory,sloop,boats,medium
hope,dole,ross,marley,bobs,hard
sound,strait,canal,channel,bodies of water,hard
sound,bay,channel,strait,bodies of water,medium
driver,finlet,flake,ebay,bodies of water plus starting letter,very_hard
rankle,lear,ship,barm,body part plus a starting letter,very_hard
arm,hip,eye,leg,body parts,easy
toes,knees,shoulders,head,"body parts in “head, shoulders, knees and toes”",easy
shiny,livery,army,colony,"body parts plus ""y""",very_hard
hearth,shine,china,butte,body parts plus letter,very_hard
squats,lunges,dips,planks,bodyweight exercises,easy
nerve,gall,guts,stones,"boldness, figuratively",medium
index,chapter,appendix,preface,book sections,medium
part one,essays,a life,a novel,book subtitles,hard
band,florist,officiant,caterer,booked for a wedding,medium
humor,romance,travel,fiction,bookstore sections,hard
travel,humor,poetry,fiction,bookstore sections,medium
pod,shell,husk,hull,botanical coverings,medium
evian,dasani,fiji,voss,bottled water brands,easy
edge,border,extremity,limit,boundary,easy
buffalo,goat,cow,sheep,bovids,easy
pin,alley,ball,lane,bowling,medium
strike,foul,spare,strike,bowling results,hard
turkey,double,spare,split,bowling results,hard
winner,smash,hit,success,box office victory,easy
cross,hook,bob,weave,boxing maneuvers,hard
jab,cross,hook,uppercut,boxing punches,hard
round,bout,match,contest,boxing unit,medium
hook,wire,strap,cup,bra parts,hard
luxury,high-end,designer,haute,brand-name,easy
q-tip,chapstick,xerox,jacuzzi,brands that have become generic terms,very_hard
cheek,nerve,brass,sauce,brashness,very_hard
mustard,brat,bun,sauerkraut,bratwurst go-withs,medium
scope,extent,extent,range,breadth,easy
range,reach,reach,scope,breadth,easy
scale,extent,scope,range,breadth,medium
butter,jam,hot sauce,syrup,breakfast condiments,hard
waffle,pancake,cereal,omelet,breakfast foods,medium
bacon,toast,grits,hash,breakfast sides,easy
puff,heave,gasp,pant,breathe hard,easy
huffs,gasps,puffs,pants,breathes heavily,easy
ring,veil,bouquet,train,bridal accessories,easy
wink,flash,second,jiffy,brief moment,easy
jiff,wink,flash,heartbeat,brief moment,easy
provoke,inspire,generate,prompt,bring about,easy
devise,create,invent,coin,bring into being,easy
nurse,rear,raise,foster,bring up,hard
roast,scone,mash,trifle,british cuisine,hard
pound,dram,stone,ounce,british imperial units of weight,hard
telly,footy,chippy,butty,britishisms,very_hard
blur,suede,oasis,pulp,britpop bands,very_hard
air,show,screen,run,broadcast,medium
run,stream,air,play,"broadcast, as online media",medium
phantom,fiddler,sunset,merrily,"broadway musicals, familiarly",hard
umbrella,sunscreen,towel,flip-flop,brought to the beach,easy
wing,bill,nickel,soldier,buffalo ___,very_hard
stick,pant,smite,blouse,bugs plus starting letter,very_hard
wing,addition,extension,annex,building add-ons,medium
brick,concrete,metal,stone,building materials,medium
bank,supermarket,laundromat,post office,buildings around town,easy
cluster,collection,group,constellation,bunch,easy
foul,screw,muck,louse,"bungle, with “up”",very_hard
mature,blossom,develop,progress,burgeon,medium
boa,corset,garter,stockings,burlesque wear,easy
fan,corset,gloves,boa,burlesque wear,medium
jack,bub,bud,man,buster,medium
buns,tail,bottom,seat,butt,easy
business,trade,market,commerce,buying and selling,easy
span,section,suite,clef,c-___,very_hard
energy,state,justice,labor,cabinet departments,very_hard
bet,discovery,nickelodeon,e,cable channels,medium
usa,oxygen,hallmark,history,cable channels,medium
pool,store,reserve,bank,cache,medium
time,meter,rhythm,beat,cadence,medium
equals,percent,times,minus,calculator buttons,easy
fujifilm,polaroid,hasselblad,olympus,camera brands,medium
shirt,sticker,button,hat,campaign swag,hard
lantern,sleeping bag,tent,cooler,camping supplies,easy
cut,axe,scrap,drop,"cancel, as a project",easy
crunch,milky way,bounty,dove,candy bars,easy
mars,heath,crunch,payday,candy bars,easy
snicker,airhead,mar,mound,candy bars minus “s”,hard
york,kinder,wonka,charms,candy names,hard
whopper,kiss,runt,nerd,candy pieces,hard
goober,kiss,dot,whopper,candy pieces,very_hard
licorice,gum,lollipop,chocolate,candy store treats,medium
apple,bar,corn,cane,candy ___,very_hard
fur,tail,muzzle,paw,canine/feline features,medium
neck,make out,french,kiss,canoodle,medium
soul,roam,sophia,keto,capital city homophones,very_hard
impulse,fancy,lark,whim,caprice,easy
hook,america,nemo,morgan,captains,hard
grab,occupy,rivet,entrance,captivate,easy
hold,charm,rivet,engage,captivate,easy
thrill,entrance,absorb,absorb,captivate,easy
tape,record,film,shoot,capture on video,medium
ford,ram,dodge,lincoln,car brands,easy
mini,fiat,jaguar,ram,car brands,hard
subaru,honda,jaguar,bmw,car companies,hard
doge,aura,hoda,buck,car companies minus letter,very_hard
volt,focus,beetle,civic,car models,very_hard
beep beep,vroom,skrrt,purr,car onomatopoeia,medium
rim,grille,mirror,bumper,car parts,medium
enterprise,thrifty,national,budget,car rental companies,hard
drive,cruise,spin,ride,car trip,medium
whip,auto,ride,wheels,"car, informally",medium
war,bridge,spoons,speed,card games,medium
bridge,hearts,spit,gin,card games,medium
joker,gummy,fridge,din,card games with first letter changed,very_hard
turn,hole,river,flop,cards in texas hold ’em,hard
pot,fertilize,water,prune,care for a plant,medium
heave,reel,pitch,lurch,careen,easy
saw,clamp,level,file,carpentry tools,hard
scat,whistle,hum,sing,carry a tune,easy
harbor,hold,maintain,bear,"carry, as a feeling",medium
foghorn,woody,woodstock,scrooge,cartoon birds,hard
garfield,sylvester,tom,felix,cartoon cats,medium
goof,lad,snoop,droop,cartoon dogs minus “y”,very_hard
jerry,speedy,pinky,itchy,cartoon mice,very_hard
lose,shed,ditch,drop,cast off,medium
russian blue,turkish angora,ragamuffin,sphynx,cat breeds,easy
tortoiseshell,tuxedo,calico,tabby,cat coat patterns,medium
bask,sun,tan,bake,catch some rays,medium
blanket,general,umbrella,broad,catchall,medium
bop,banger,jam,groove,catchy song,medium
nap,walk,tail,fish,cat___,very_hard
cradle,pajamas,eye,meow,cat’s ___,very_hard
shower,birthday,anniversary,wedding,celebratory occasions,easy
comet,planet,star,moon,celestial objects,easy
asteroid,moon,planet,comet,celestial objects,medium
silent,focus,vibrate,ring,cell phone modes,easy
airplane,ring,do not disturb,vibrate,cellphone modes,easy
midriff,torso,core,trunk,central section of the body,easy
rooster,leprechaun,elves,count,cereal mascots,hard
lucky,tony,pop,sam,cereal mascots,very_hard
store,letter,reaction,mail,chain ___,very_hard
pool,drawing,lottery,raffle,chance to win a prize,hard
renege,flip-flop,backpedal,about-face,change one’s tune,medium
condense,freeze,melt,vaporize,change states of matter,easy
medium,platform,venue,outlet,channel,medium
q,m,moneypenny,bond,characters in bond movies,hard
solo,emperor,chewie,boba,"characters in “the empire strikes back,"" familiarly",hard
hulk,grinch,elphaba,shrek,characters with green skin,medium
charlie,wallace,dorothy,shaggy,characters with pet dogs,hard
jaw,yak,yap,gab,"chat, informally",easy
magazine,charging cable,chapstick,candy,checkout line impulse buys,medium
bright,bouncy,sunny,merry,cheerful,easy
american,blue,swiss,jack,"cheeses, familiarly",easy
ball,puff,curl,doodle,cheesy corn snack unit,hard
solution,bond,element,base,chemistry terms,medium
relish,savor,value,treasure,cherish,easy
gambit,mate,bishop,queen,chess terms,medium
fire,spice,kick,heat,chili pepper quality,medium
han,song,tang,ming,chinese dynasties,very_hard
horse,tiger,dragon,rabbit,chinese zodiac animals,very_hard
mounds,mars,crunch,chunky,chocolate bars,medium
skort,dover,marsh,crunchy,chocolate bars plus a letter,very_hard
pick,cream,top,best,choicest,hard
stocking,snowman,reindeer,mistletoe,christmas-related,easy
record,register,log,journal,chronicle,easy
cherish,have,love,hold,church of england wedding vow verbs,hard
mint,mango,tamarind,tomato,chutney varieties,hard
gall,cheek,nerve,brass,chutzpah,easy
hoop,circle,band,ring,circular shapes,medium
lp,pupil,full moon,pizza pie,circular things,medium
bath,reading,derby,sandwich,cities and towns in england,hard
lincoln,lagos,luxor,limerick,cities beginning with “l”,medium
sprite,starry,squirt,crush,citrus sodas,hard
roam,soul,niece,deli,city homophones,very_hard
medium,psychic,mystic,oracle,clairvoyant,easy
heat,armageddon,speed,hard boiled,classic '90s action films,very_hard
asteroids,pong,frogger,breakout,classic arcade games,easy
centipede,asteroids,breakout,defender,classic atari games,hard
clippers,cape,gel,brush,classic barbershop supplies,hard
operation,mastermind,sorry,mouse trap,classic board games,hard
sour,punch,sling,fizz,classic cocktail types,very_hard
comic,record,stamp,coin,classic collection items,hard
fido,rover,lucky,spot,classic dog names,easy
fluffy,rover,rex,spot,classic dog names,hard
feud,wheel,pyramid,millionaire,"classic game shows, familiarly",hard
witch,clown,pirate,angel,classic halloween costumes,easy
bar,chicken,light bulb,knock-knock,classic joke staples,very_hard
flamingo,pinwheel,gnome,fountain,classic lawn ornaments,hard
speaker,screen,projector,reel,classic movie theater equipment,easy
compass,mermaid,swallow,anchor,classic nautical tattoos,hard
fishbowl,charades,werewolf,categories,classic party games,hard
rush,genesis,kansas,yes,classic rock bands,hard
fruit,skull,pitcher,tablecloth,classic still life components,hard
tights,mask,underwear,cape,classic superhero wear,hard
dragon,heart,rose,anchor,classic tattoos,very_hard
yo-yo,doll,top,blocks,classic toys,easy
blocks,ball,jacks,train,classic toys,hard
water,fire,air,earth,classical elements,hard
photoshop,fix,airbrush,touch up,"clean up, as a photograph",medium
mop,broom,rag,sponge,cleaning supplies,easy
vacuum,sweep,mop,dust,cleaning verbs,hard
mud,a bell,crystal,day,clear as ___,very_hard
trap,corner,surround,tree,close in on,hard
snug,sleek,clingy,slinky,close-fitting,medium
sandwich,soda,med,music,club ___,very_hard
mustard,scarlet,plum,green,clue characters,very_hard
fingerprint,tire mark,hair,fiber,clues at a crime scene,hard
flop,bust,dud,miss,clunker,easy
cherry,olive,mint,twist,cocktail garnishes,hard
muddle,garnish,stir,strain,cocktail-making verbs,hard
sea breeze,greyhound,cosmopolitan,screwdriver,cocktails,medium
screwdriver,cosmopolitan,manhattan,hurricane,cocktails,very_hard
libre,sling,mule,mama,cocktails minus place names,very_hard
lid,stirrer,straw,cup,coffee counter items,easy
cappuccino,latte,americano,espresso,coffee drinks,easy
associate,fellow,peer,partner,colleague,medium
gather,reap,harvest,pick,"collect, as from an orchard",medium
set,array,battery,series,collection,hard
fund,pot,pool,kitty,collection of money,very_hard
gaggle,parliament,murder,charm,collective nouns for birds,hard
wolverine,sooner,volunteer,gator,college football team members,hard
gate,core,pilled,mania,colloquial suffixes,very_hard
lube,genre,dre,gary,color anagrams,very_hard
blew,rows,choral,read,color homophones,very_hard
pastel,grayscale,neutral,neon,color types,easy
pink,violet,brown,turquoise,colors,medium
yellow,green,blue,white,colors in brazil’s flag,hard
lack,ink,old,range,colors minus their first letters,very_hard
frown,mellow,preen,clue,colors with their first letters changed,very_hard
titanic,great,giant,mammoth,colossal,easy
blend,stir,fold,beat,"combine, as baking ingredients",medium
sound,look,appear,seem,come across as,hard
land,perch,settle,roost,come down to rest,medium
routine,joke,bit,sketch,comedian’s output,medium
routine,bit,act,set,comedian’s performance,hard
gag,bit,sketch,act,comedic routine,hard
loafer,croc,slipper,moccasin,comfy shoes,easy
snap,ouch,burn,zing,comment after an insult,easy
company,firm,enterprise,agency,commercial organization,easy
write,author,compose,pen,commit to paper,easy
dice,cards,board,pieces,common components of board games,medium
ambergris,musk,vanilla,rose,common perfume ingredients,medium
