word1,word2,word3,word4,category,difficulty
SPIRIT,UNITED,VIRGIN,FRONTIER,AIRLINES,easy
FRONTIER,SPIRIT,SOUTHWEST,ALASKA,AIRLINES,medium
ARRIVAL,DESTINATION,GATE,FLIGHT,AIRPORT BOARD INFO,medium
CAROUSEL,FOOD COURT,GATE,LOUNGE,AIRPORT FEATURES,medium
SNOOZE,TIME SET,ALARM,HOUR,ALARM CLOCK BUTTONS,easy
RECESS,HOLLOW,NOOK,CAVITY,ALCOVE,easy
AMBER,PORTER,SOUR,STOUT,ALE STYLES,hard
FLARE,SOS,ALARM,SIGNAL,ALERT,easy
POWER,ROOT,EXPONENT,RADICAL,ALGEBRA TERMS,hard
REASON,OUT,DEFENSE,EXCUSE,ALIBI,hard
CHAMP,GOAT,BEST,LEGEND,ALL-TIME GREAT,medium
ICON,GREAT,HERO,LEGEND,ALL-TIMER,medium
ASSOCIATION,GUILD,LEAGUE,UNION,ALLIANCE,easy
STAKE,INTEREST,SHARE,PERCENTAGE,ALLOTMENT,hard
RESERVED,COOL,DISTANT,REMOTE,ALOOF,easy
BESIDES,TO BOOT,AS WELL,TOO,ALSO,medium
DOCTOR,FUDGE,DISTORT,TWIST,ALTER DECEPTIVELY,hard
CLUSTER,CONCENTRATE,GROUP,COLLECT,AMASS,medium
TOUCAN,CAPYBARA,ANACONDA,JAGUAR,AMAZON ANIMALS,easy
PRIME,KINDLE,RAINFOREST,RIVER,AMAZON ___,very_hard
MOOD,QUALITY,AIR,FEELING,AMBIENCE,medium
EASY,OPEN,FLEXIBLE,RECEPTIVE,AMENABLE,easy
PUNT,SNAP,SACK,FUMBLE,AMERICAN FOOTBALL ACTIONS,hard
END,CENTER,SAFETY,TACKLE,AMERICAN FOOTBALL POSITIONS,hard
POUND,OLDS,FROST,BISHOP,AMERICAN POETS,hard
THATCH,LOCK,TUFT,SHOCK,AMOUNTS OF HAIR,medium
TILT-A-WHIRL,MERRY-GO-ROUND,ROLLER COASTER,FERRIS WHEEL,AMUSEMENT PARK RIDES,easy
ARTS,NOPE,PONE,RATS,ANAGRAMS,hard
STAPLE,PLEATS,TSAR,PASTEL,ANAGRAMS,hard
PEON,PETALS,STAR,OPEN,ANAGRAMS,hard
ABEL,SERA,ARES,EARS,ANAGRAMS,medium
BELA,BALE,LIVE,VEIL,ANAGRAMS,medium
EVIL,ABLE,SEAR,VILE,ANAGRAMS,medium
TESLA,STALE,LEAST,SLATE,ANAGRAMS,very_hard
MONTE,DIAL,YOGA,EGADS,ANAGRAMS OF FAMOUS PAINTERS,very_hard
GROAN,BULGE,ABUT,VOILA,ANAGRAMS OF MUSICAL INSTRUMENTS,very_hard
NOISE,STATIC,SNOW,FUZZ,ANALOG TV INTERFERENCE,hard
CLAY,PAPYRUS,WAX,PARCHMENT,ANCIENT WRITING SURFACES,easy
SCALES,DOWN,SHELL,FUR,ANIMAL COVERINGS,hard
PRIDE,HERD,FLOCK,POD,ANIMAL GROUP NAMES,easy
SWARM,PACK,COLONY,SCHOOL,ANIMAL GROUP NAMES,easy
PRIDE,PACK,SWARM,SCHOOL,ANIMAL GROUP NAMES,hard
PRIDE,SCHOOL,HERD,COLONY,ANIMAL GROUPS,easy
DEN,HIVE,LAIR,NEST,ANIMAL HOMES,easy
WARREN,LODGE,DEN,BURROW,ANIMAL HOMES,medium
DEAR,MOUSSE,NEW,BARE,ANIMAL HOMOPHONES,hard
BORE,TOWED,HOARSE,LINKS,ANIMAL HOMOPHONES,very_hard
DEAR,PHISH,WAIL,HAIR,ANIMAL HOMOPHONES,very_hard
BEAR,HAWK,BULL,DOVE,ANIMAL METAPHORS IN ECONOMICS,medium
BEAK,MUZZLE,TRUNK,SNOUT,ANIMAL NOSES,medium
MEOW,OINK,BUZZ,CLUCK,ANIMAL SOUNDS,medium
TANG,REED,DRIB,FLOW,ANIMALS BACKWARD,very_hard
WOMBAT,GEODUCK,SEAHORSE,TITMOUSE,ANIMALS ENDING WITH ANIMALS,very_hard
NEWT,FROG,BAT,DOG,ANIMALS IN THE WITCHES' BREW IN “MACBETH”,hard
ANTHER,HARK,EASEL,LAMA,ANIMALS MINUS STARTING LETTER,very_hard
LYNX,IBEX,ORYX,FOX,ANIMALS THAT END WITH “X”,medium
HORSEFLY,BULLDOG,TURTLEDOVE,CATFISH,ANIMALS WHOSE NAMES ARE TWO ANIMALS,easy
ELEPHANT,HIPPO,WARTHOG,NARWHAL,ANIMALS WITH TUSKS,hard
TRUMPET,HERALD,BROADCAST,DECLARE,ANNOUNCE,easy
BAH,GRINCH,COAL,NAUGHTY,ANTI-SPIRIT OF CHRISTMAS,hard
GARLIC,MIRROR,CRUCIFIX,STAKE,ANTI-VAMPIRE,medium
GOV,CHEM,BIO,STATS,AP CLASSES,hard
HEIGHT,TOP,PEAK,MAX,APEX,medium
SHADE,SPIRIT,SPECTER,WIGHT,APPARITION,medium
PHANTOM,GHOST,SPIRIT,SPECTER,APPARITIONS,medium
DRESS,MANNER,STYLE,LOOK,APPEARANCE,medium
ARM,WING,FIN,FLIPPER,APPENDAGES,medium
POPPER,NACHO,WING,FRY,APPETIZER UNIT,easy
BRANDY,SAUCE,CIDER,BUTTER,APPLE PRODUCTS,hard
CRUSH,SQUASH,PRESS,MASH,APPLY PRESSURE TO,medium
DURATION,LOCATION,TIME,DATE,APPOINTMENT SPECIFICATIONS,medium
THANKS,CREDIT,PRAISE,RECOGNITION,APPRECIATION,easy
THUMBS-UP,CLEARANCE,GREEN LIGHT,GO-AHEAD,APPROVAL,medium
ROUGH,BROAD,BALLPARK,GENERAL,APPROXIMATE,easy
LIKE,ROUGHLY,ABOUT,AROUND,APPROXIMATELY,easy
BENT,GIFT,FLAIR,FLAIR,APTITUDE,easy
NOSE,FACULTY,INSTINCT,GIFT,APTITUDE,easy
PUMP,ROCKS,TANK,FILTER,AQUARIUM PURCHASES,hard
MITE,SCORPION,SPIDER,TICK,ARACHNIDS,easy
CHAIR,JUDGE,MEDIATE,MODERATE,ARBITRATE,easy
RAINBOW,FLIGHT PATH,EYEBROW,BANANA,ARC-SHAPED THINGS,medium
HAWKEYE,CUPID,ROBIN HOOD,SAGITTARIUS,ARCHERS,medium
BOW,TARGET,ARROW,QUIVER,ARCHERY EQUIPMENT,easy
RULER,STENCIL,T-SQUARE,COMPASS,ARCHITECTURAL DRAWING TOOLS,hard
GET IT,CAPISCE,UNDERSTAND,SEE,ARE WE CLEAR?,hard
SPECIALTY,FIELD,CONCENTRATION,FOCUS,AREA OF EXPERTISE,easy
BANK,MOUND,HILL,DUNE,AREA OF HIGH GROUND,easy
PASS,RAVINE,GULCH,CANYON,AREAS BETWEEN MOUNTAINS AND HILLS,easy
CONCENTRATION,MAJOR,DEGREE,MINOR,AREAS OF ACADEMIC FOCUS,medium
HIPPODROME,COLISEUM,BOWL,STADIUM,ARENA,medium
SUBTRACT,ADD,MULTIPLY,DIVIDE,ARITHMETIC OPERATIONS,medium
MAJOR,PRIVATE,GENERAL,CAPTAIN,ARMY RANKS,easy
PAINT,CHARCOAL,PASTEL,INK,ART MEDIUMS,hard
GOTHIC,DECO,DADA,POP,ART MOVEMENTS,medium
MANNER,SURREAL,ROMANTIC,EXPRESSION,"ART MOVEMENTS, WITH -ISM",very_hard
MITE,APHID,BEETLE,TICK,ARTHROPODS,easy
STATION,JOB,POSITION,POST,ASSIGNMENT,medium
LIGHT,YANG,MASCULINE,EXPANSIVE,ASSOCIATED PRINCIPLES IN CHINESE PHILOSOPHY,very_hard
PENCIL,DEREK JETER,SILVER MEDAL,DEPUTY,ASSOCIATED WITH #2,very_hard
TAURUS,RODEO,WALL STREET,MICHAEL JORDAN,ASSOCIATED WITH BULLS,hard
BAT,CASTLE,CAPE,FANG,ASSOCIATED WITH COUNT DRACULA,medium
ROOSTER,SUNRISE,DEW,WORM,ASSOCIATED WITH EARLY MORNING,hard
SLIP,OEDIPUS,DREAMS,ID,ASSOCIATED WITH FREUD,medium
LADYBUG,SHAMROCK,HORSESHOE,PENNY,ASSOCIATED WITH GOOD LUCK,easy
STEEL,DIAMOND,ROCK,NAILS,ASSOCIATED WITH HARDNESS,hard
PIPE,FOREARM,SPINACH,ANCHOR,ASSOCIATED WITH POPEYE,hard
LEPRECHAUN,UNICORN,PRIDE,DOROTHY GALE,ASSOCIATED WITH RAINBOWS,hard
FISH,LIBRA,SOLFEGE,JUSTICE,ASSOCIATED WITH SCALES,hard
DYSENTERY,FORD,HUNT,OXEN,ASSOCIATED WITH THE GAME THE OREGON TRAIL,hard
LAMP,BLUE,WISHES,EARRING,ASSOCIATED WITH THE GENIE IN “ALADDIN”,hard
CON GAME,HEARTS,HALLOWEEN,MAGIC SHOW,ASSOCIATED WITH TRICKS,very_hard
INFANT,SWIMMING,TICKER,PUB,ASSOCIATED WITH “CRAWL”,very_hard
CHOCOLATE,PIGEON,PEACE,SOAP,ASSOCIATED WITH “DOVE”,hard
CYCLOPS,SOLITAIRE,UNICYCLE,MONOLOGUE,ASSOCIATED WITH “ONE”,very_hard
CIGARETTE,TICKET,TOE,PENCIL,ASSOCIATED WITH “STUB”,hard
BATHROBE,BOWLING,RUG,WHITE RUSSIAN,ASSOCIATED WITH “THE DUDE” LEBOWSKI,very_hard
CINCH,LOCK,SECURE,ICE,"ASSURE, AS A VICTORY",medium
LOCK,SECURE,CLINCH,GUARANTEE,"ASSURE, AS A WIN",medium
LATER,NEXT,SOON,EVENTUALLY,AT SOME FUTURE POINT,easy
DEPOSIT,BALANCE,TRANSFER,WITHDRAWAL,ATM OPTIONS,hard
DEPOSIT,WITHDRAWAL,CHECKING,SAVINGS,ATM OPTIONS,medium
STICK,PASTE,STICK,AFFIX,ATTACH WITH ADHESIVE,easy
ADHERE,GLUE,GLUE,ADHERE,ATTACH WITH ADHESIVE,easy
EARN,LAND,WIN,SCORE,ATTAIN,easy
ABSENT,PRESENT,LATE,EXCUSED,ATTENDANCE STATUS,medium
DUDS,GETUP,THREADS,FIT,ATTIRE,easy
HOOK,PULL,GRAB,DRAW,ATTRACT,medium
DRAW,CHARM,PULL,APPEAL,ATTRACTION,hard
LIBERTY BELL,TOWER OF PISA,VENUS DE MILO,STATUE OF LIBERTY,ATTRACTIONS ICONICALLY DIFFERENT FROM THEIR ORIGINAL FORMS,hard
BARE,UNCLAD,NUDE,NAKED,AU NATUREL,easy
SHAZAM,TIDAL,AUDIBLE,PANDORA,AUDIO APPS,easy
SUPER,ULTRA,HYPER,UBER,AUGMENTATIVE PREFIXES,medium
BARE,SPARE,PLAIN,SIMPLE,AUSTERE,medium
CRIKEY,BUSH,BARBIE,MATE,AUSTRALIAN TERMS,hard
REVERSE,DRIVE,NEUTRAL,LOW,AUTOMATIC GEAR SHIFTER POSITIONS,hard
REVERSE,DRIVE,NEUTRAL,PARK,AUTOMATIC TRANSMISSION SETTINGS,medium
SOLO,FREE,STAG,SINGLE,AVAILABLE,medium
FIFTH,BROADWAY,PARK,MADISON,AVENUES IN N.Y.C.,hard
STANDARD,MEAN,NORM,PAR,AVERAGE,easy
SKIRT,DUCK,ESCAPE,DODGE,AVOID,easy
MEDAL,CUP,TROPHY,RIBBON,AWARDS,medium
FIRE,LIT,SICK,DOPE,AWESOME,easy
MOVIE,BALL,SCHOOL,VITAMIN,B-___,very_hard
BACON,BREAD,LETTUCE,TOMATO,B.L.T. INGREDIENTS,easy
KIT,CALF,CUB,FAWN,BABY ANIMALS,hard
KID,CUB,CALF,JOEY,BABY ANIMALS,medium
STROLLER,BIB,BOTTLE,MONITOR,BABY GEAR,easy
CARROT,SHOWER,BOOM,TALK,BABY ___,very_hard
STEPS,BLUES,BOOMER,TEETH,BABY ___,very_hard
LIP,SASS,ATTITUDE,CHEEK,BACK TALK,medium
AEGIS,PROTECTION,GUARD,SHIELD,BACKING,easy
BOOTY,BUM,REAR,CAN,BACKSIDE,medium
MAR,GOD,TAB,FLOW,BACKWARDS ANIMALS,very_hard
WHIFF,SLICE,SHANK,HOOK,BAD GOLF SHOTS,hard
FREEZE,LAG,DROP,ECHO,BAD THINGS FOR A VIDEO CALL TO DO,easy
QUIT,FREEZE,TIMEOUT,GLITCH,BAD THINGS FOR A WEBSITE TO DO,hard
SOUR,RANK,FOUL,RIPE,BAD-SMELLING,easy
HEEL,DOG,JERK,SNAKE,BADDIE,very_hard
VEX,STUMP,PUZZLE,PERPLEX,BAFFLE,easy
ONION,POPPY,EVERYTHING,PLAIN,BAGEL FLAVORS,hard
DANISH,MUFFIN,TURNOVER,BUN,BAKED GOODS,medium
HORSEFEATHERS,HOGWASH,NONSENSE,CROCK,BALDERDASH,easy
BUNK,BULL,HOGWASH,ROT,BALDERDASH,easy
TROPE,PLATITUDE,CHESTNUT,CLICHÉ,BANALITY,easy
SPLIT,BOAT,BREAD,SLUG,BANANA ___,very_hard
FLOYD,DAY,STRIPES,SABBATH,BAND NAMES MINUS COLORS,very_hard
MAROON,SUM,U,BLINK,BAND NAMES MINUS NUMBERS,very_hard
MAROON,JACKSON,BEN FOLDS,MC,BANDS MINUS THE NUMBER FIVE,very_hard
KNOCK,BUTT,RAM,BUMP,BANG INTO,medium
HAPPY HOUR,TRIVIA NIGHT,KARAOKE,LIVE MUSIC,BAR EVENTS,medium
STOOL,KEG,COUNTER,TAP,BAR FIXTURES,medium
EXAM,MITZVAH,SOAP,CHART,BAR ___,very_hard
SPINE,SPUR,THORN,STICKER,BARB,medium
BUY,VALUE,DEAL,STEAL,BARGAIN,medium
TANK,CYLINDER,CASK,DRUM,BARREL-SHAPED CONTAINER,easy
SAFE,BALL,STRIKE,OUT,BASEBALL CALLS,easy
FOUL,OUT,BALL,FAIR,BASEBALL CALLS,hard
BALL,BAT,GLOVE,BASE,BASEBALL EQUIPMENT,easy
MANTLE,BONDS,TROUT,YOUNG,BASEBALL GREATS,very_hard
RUN,WALK,DOUBLE,HIT,BASEBALL STATS,hard
DIAMOND,STADIUM,PARK,FIELD,BASEBALL VENUES,hard
UP,LEFT,RIGHT,DOWN,BASIC DIRECTIONS,easy
ANGER,SURPRISE,FEAR,HAPPINESS,BASIC EMOTIONS,easy
LENGTH,AREA,VOLUME,PERIMETER,BASIC GEOMETRIC CALCULATIONS,easy
LINE,POINT,RAY,SEGMENT,BASIC GEOMETRIC OBJECTS,medium
SOUR,SALTY,BITTER,SWEET,BASIC TASTES,easy
TRIANGLE,SQUARE,CIRCLE,DIAMOND,BASIC TWO-DIMENSIONAL SHAPES,medium
DRIBBLE,BLOCK,PASS,SHOOT,BASKETBALL MOVES,hard
LAYUP,FLOATER,THREE,DUNK,BASKETBALL SHOTS,easy
FINGER ROLL,ALLEY-OOP,FADEAWAY,SLAM DUNK,BASKETBALL SHOTS,hard
RIB,WING,DOG,LINK,BBQ OFFERING,hard
CHILL,LOUNGE,REST,LOAF,BE AT LEISURE,easy
REST,RELY,DEPEND,HINGE,BE CONTINGENT (ON),easy
LEAD,RUN,DIRECT,HEAD,BE IN CHARGE OF,easy
WORK,FUNCTION,OPERATE,RUN,BE IN COMMISSION,medium
WAVER,WAFFLE,HESITATE,YO-YO,BE INDECISIVE,easy
SURROUND,FLANK,BOOKEND,BRACKET,BE ON BOTH SIDES OF,medium
SHOWBOAT,SWAGGER,GRANDSTAND,POSTURE,BE OSTENTATIOUS,easy
SHORE,COAST,STRAND,BANK,BEACHY AREA,medium
DIP,SPROUT,COUNTER,BAG,BEAN ___,very_hard
FAVA,LIMA,PINTO,KIDNEY,BEANS,easy
INCLUDE,CONSIDER,FACTOR,COUNT,BEAR IN MIND,easy
HUG,WITNESS,CLAW,FRUIT,BEAR ___,very_hard
LEARN,REALIZE,DISCOVER,FIND,BECOME AWARE OF,medium
MUSHROOM,SNOWBALL,SWELL,BALLOON,BECOME LARGER,hard
THROW,SHEET,SHAM,BLANKET,BEDDING,medium
MURPHY,CANOPY,BUNK,TRUNDLE,BEDS,easy
HIVE,WAX,HONEY,COMB,BEE CREATIONS,medium
BATTER,GARDEN,PONG,CAN,BEER ___,very_hard
STELLA,NATTY,BUD,SIERRA,"BEERS, FAMILIARLY",hard
GENESIS,BIRTH,START,DAWN,BEGINNING,easy
SUNDRY,FRIAR,MONKEY,WEDDING,BEGINNING WITH DAY ABBREVIATIONS,very_hard
EERIE,LLAMA,AARDVARK,OOZE,BEGINNING WITH DOUBLE LETTERS,hard
FOREHEAD,FIEVEL,TOUCAN,WONDER,BEGINNING WITH NUMBER HOMOPHONES,very_hard
BUTTERMILK,BUMPER-TO-BUMPER,RUMPELSTILTSKIN,TAILGATE,BEGINNING WITH SYNONYMS FOR REAR END,very_hard
SAKE,INTEREST,ADVANTAGE,BENEFIT,BEHALF,medium
WHALE,WHOPPER,COLOSSUS,MAMMOTH,BEHEMOTH,medium
BUFF,TAN,FAWN,CREAM,BEIGE SHADES,hard
BUTTON,FLOP,DANCE,LAUGH,BELLY ___,very_hard
CLOSE,TIGHT,INTIMATE,DEAR,"BELOVED, AS A FRIEND",medium
GIVE,BOW,CAVE,BUCKLE,BEND UNDER PRESSURE,medium
RAY,MILK,CAPOTE,LINCOLN,BEST ACTOR-WINNING BIOPICS,very_hard
STONE,MADISON,SWANK,FOSTER,BEST ACTRESS OSCAR WINNERS,hard
BERRY,BERRY,STONE,SWANK,BEST ACTRESS OSCAR WINNERS,hard
FROZEN,UP,FLOW,BRAVE,BEST ANIMATED FEATURE OSCAR WINNERS,very_hard
BONG,LEE,STONE,FORD,BEST DIRECTOR OSCAR WINNERS,very_hard
APPLE,CROW,TURNER,SUMMER,BEST FEMALE ROCK PERFORMANCE GRAMMY WINNERS,very_hard
GLADIATOR,CRASH,MOONLIGHT,CHICAGO,BEST PICTURE WINNERS SINCE 2000,hard
PINNACLE,HEYDAY,ZENITH,PRIME,BEST YEARS,easy
GRANT,VEST,PRESENT,CONFER,BESTOW,medium
NAPKIN,CUP,STRAW,LID,BEVERAGE SELF-SERVICE ITEMS,medium
JUICE,PUNCH,SODA,MILK,BEVERAGES,easy
JOB,ACTS,MARK,KINGS,BIBLE BOOKS,medium
SPLASH,IMPACT,FOOTPRINT,MARK,BIG IMPRESSION,medium
BRAKE,CHAIN,SPOKE,PEDAL,BIKE PARTS,medium
GEAR,SADDLE,HANDLEBAR,WHEEL,BIKE PARTS,medium
CHALK,CUE,RACK,BALL,BILLIARDS EQUIPMENT,hard
FALSE,NO,YES,TRUE,BINARY QUESTION OPTIONS,hard
ATOM,MOLECULE,PROTEIN,CELL,BIOLOGICAL BUILDING BLOCKS,easy
TUNDRA,FOREST,DESERT,GRASSLAND,BIOMES,easy
JOBS,VICE,MILK,BLONDE,BIOPICS,very_hard
WING,FEATHER,BEAK,TALON,BIRD FEATURES,easy
GOBBLE,COO,HOOT,HONK,BIRD ONOMATOPOEIA,hard
SWANK,CROWD,GULLY,PUFFING,BIRD PLUS LETTER,very_hard
TWEET,CHIRP,CAW,CLUCK,BIRD SOUNDS,easy
KITE,SWALLOW,JAY,TURKEY,BIRDS,hard
CRANE,LARK,SWALLOW,JAY,BIRDS,hard
SWIFT,ROBIN,SWIFT,CARDINAL,BIRDS,hard
CONDO,LOO,HERO,RAVE,BIRDS MINUS LAST LETTER,very_hard
CRAN,FLAMING,HAW,HERO,BIRDS MINUS LAST LETTER,very_hard
DUCK,GROUSE,SWALLOW,HAWK,BIRDS THAT ARE VERBS,medium
SUGGESTION,TIP,TRICK,POINTER,BIT OF ADVICE,easy
PUFF,PEBBLE,CHEERIO,FLAKE,BIT OF BREAKFAST CEREAL,hard
WEDGE,ZEST,SLICE,TWIST,BIT OF CITRUS GARNISH,hard
HIGH,KICK,RUSH,THRILL,BIT OF EXCITEMENT,easy
TRESS,RINGLET,CURL,LOCK,BIT OF HAIR,easy
REPORT,ARTICLE,STORY,FEATURE,BIT OF JOURNALISM,medium
PARCEL,PATCH,PLOT,BED,BIT OF LAND FOR GROWING,medium
ACT,BILL,RESOLUTION,MEASURE,BIT OF LEGISLATION,easy
GLOB,TEAR,BEAD,DROP,BIT OF LIQUID,hard
HEX,CHARM,SPELL,CURSE,BIT OF MAGIC,easy
ARTICLE,STORY,COLUMN,FEATURE,BIT OF NEWSPAPER WRITING,easy
GARLAND,CONFETTI,BALLOON,BANNER,BIT OF PARTY DECORATION,hard
DRILL,EXERCISE,PRACTICE,ROUTINE,BIT OF REPETITIVE TRAINING,medium
DIP,WING,CHIP,FRY,BIT OF SPORTS BAR FARE,medium
PRESTO,VOILA,BEHOLD,TADA,BIT OF VOCAL FANFARE,medium
DRAFT,BREEZE,PUFF,GUST,BIT OF WIND,medium
DANCE,MONOLOGUE,SONG,SKETCH,BITS IN A VARIETY SHOW,medium
SCREW,NUT,WASHER,NAIL,BITS OF HARDWARE,easy
KERNEL,TIDBIT,PEARL,NUGGET,BITS OF WISDOM,medium
RAVEN,INKY,JET,PITCH,BLACK,medium
BALANCE SHEET,ROULETTE,CHECKERS,LICORICE,BLACK OR RED,very_hard
GAY,BUTLER,HOOKS,WALKER,BLACK WOMEN AUTHORS,very_hard
PANDA,SKUNK,ZEBRA,ORCA,BLACK-AND-WHITE ANIMALS,easy
OREO,ZEBRA,TUXEDO,YIN-YANG SYMBOL,BLACK-AND-WHITE THINGS,easy
DOMINO,PIANO KEYS,CROSSWORD,PANDA,BLACK-AND-WHITE THINGS,easy
ORCA,OREO,DOMINO,CROSSWORD,BLACK-AND-WHITE THINGS,medium
SPLIT,HIT,BUST,STAND,BLACKJACK TERMS,very_hard
MAR,DING,SCRATCH,DENT,BLEMISH,easy
PUREE,GRIND,PULSE,CHOP,BLENDER BUTTONS,medium
WINK,HEARTBEAT,SECOND,FLASH,BLINK OF AN EYE,medium
SEAL,PLUG,STOP,CLOSE,"BLOCK, AS AN OPENING",easy
SENSATION,HIT,SUCCESS,SMASH,BLOCKBUSTER,medium
WHALE,MOON,JAY,JEANS,BLUE ___,hard
BOO-BOO,NO-NO,FLUB,GAFFE,BLUNDER,easy
BOO-BOO,GOOF,GAFFE,FLUB,BLUNDER,easy
SORRY,CHESS,BACKGAMMON,GO,BOARD GAMES,easy
CHECKERS,TROUBLE,TABOO,RISK,BOARD GAMES,easy
SORRY,TROUBLE,CLUE,RISK,BOARD GAMES,medium
BLUSTER,SHOW OFF,STRUT,CROW,BOAST,easy
FERRY,JUNK,TUG,YACHT,BOATS,easy
BARGE,SCOW,DORY,SLOOP,BOATS,medium
HOPE,DOLE,ROSS,MARLEY,BOBS,hard
