Word,Category,Difficulty
KING,MATTRESS SIZES,1
PIANO,THINGS WITH KEYS,3
CHESS,BOARD GAMES,0
RUBY,THINGS THAT ARE RED,2
FLORIDA,THINGS WITH KEYS,3
TWIN,MATTRESS SIZES,1
CHERRY,THINGS THAT ARE RED,2
QUEEN,MATTRESS SIZES,1
STOP SIGN,THINGS THAT ARE RED,2
GO,BOARD GAMES,0
CHECKERS,BOARD GAMES,0
CRYPTOGRAPHY,THINGS WITH KEYS,3
FULL,MATTRESS SIZES,1
BACKGAMMON,BOARD GAMES,0
SQUASH,SPORTS,0
TEE,TOPS,1
CARROT,VEGETABLES,2
ANT,INSECTS,3
TANK,TOPS,1
CORN,VEGETABLES,2
CRICKET,SPORTS,0
MANTIS,INSECTS,3
POLO,SPORTS,0
ONION,VEGETABLES,2
BEETLE,INSECTS,3
BEET,VEGETABLES,2
CAMI,TOPS,1
TERMITE,INSECTS,3
HALTER,TOPS,1
FENCING,SPORTS,0
TWINS,ZODIAC SYMBOLS,3
TURKEY,BIRDS,2
GOAT,ZODIAC SYMBOLS,3
KIWI,FRUIT,0
SCALES,ZODIAC SYMBOLS,3
FISH,ZODIAC SYMBOLS,3
JORDAN,COUNTRIES,1
JAY,BIRDS,2
ORANGE,FRUIT,0
GEORGIA,COUNTRIES,1
DATE,FRUIT,0
CRANE,BIRDS,2
TOGO,COUNTRIES,1
SWALLOW,BIRDS,2
LEMON,FRUIT,0
CHAD,COUNTRIES,1
SUGAR,TERMS OF ENDEARMENT,1
ANGEL,THINGS WITH WINGS,2
GINGER,SPICE GIRLS,3
BIRD,THINGS WITH WINGS,2
BABY,SPICE GIRLS,3
CUMIN,SPICES BEGINNING WITH “C”,0
BOO,TERMS OF ENDEARMENT,1
SCARY,SPICE GIRLS,3
SWEETIE,TERMS OF ENDEARMENT,1
CORIANDER,SPICES BEGINNING WITH “C”,0
AIRPLANE,THINGS WITH WINGS,2
CLOVE,SPICES BEGINNING WITH “C”,0
PEGASUS,THINGS WITH WINGS,2
HONEY,TERMS OF ENDEARMENT,1
CARDAMOM,SPICES BEGINNING WITH “C”,0
POSH,SPICE GIRLS,3
LUST,DEADLY SINS,1
PRIDE,DEADLY SINS,1
TAN,TRIG FUNCTIONS,3
SCHOOL,ANIMAL GROUP NAMES,0
SLOTH,SLOW ANIMALS,2
SEC,TRIG FUNCTIONS,3
PACK,ANIMAL GROUP NAMES,0
COT,TRIG FUNCTIONS,3
SNAIL,SLOW ANIMALS,2
GREED,DEADLY SINS,1
SIN,TRIG FUNCTIONS,3
FLOCK,ANIMAL GROUP NAMES,0
POD,ANIMAL GROUP NAMES,0
LORIS,SLOW ANIMALS,2
ENVY,DEADLY SINS,1
TORTOISE,SLOW ANIMALS,2
KNEW,HOMOPHONES,3
GNOME,SILENT “G”,2
IOTA,GREEK LETTERS,1
FRONTIER,AIRLINES,0
DELTA,GREEK LETTERS,1
CHI,GREEK LETTERS,1
GNOCCHI,SILENT “G”,2
NEW,HOMOPHONES,3
SPIRIT,AIRLINES,0
BETA,GREEK LETTERS,1
VIRGIN,AIRLINES,0
GNAW,SILENT “G”,2
NU,HOMOPHONES,3
GNAT,SILENT “G”,2
UNITED,AIRLINES,0
GNU,HOMOPHONES,3
CANOPY,BEDS,0
LINK,VIDEO GAME CHARACTERS,3
PASSPORT,HONDAS,2
MARX,FAMOUS BROTHERS,1
PILOT,HONDAS,2
SONIC,VIDEO GAME CHARACTERS,3
WRIGHT,FAMOUS BROTHERS,1
ACCORD,HONDAS,2
MURPHY,BEDS,0
CRASH,VIDEO GAME CHARACTERS,3
CIVIC,HONDAS,2
BUNK,BEDS,0
MARIO,VIDEO GAME CHARACTERS,3
JONAS,FAMOUS BROTHERS,1
TRUNDLE,BEDS,0
WARNER,FAMOUS BROTHERS,1
SILVER,FICTIONAL PIRATES,3
TWEET,BIRD SOUNDS,0
ROD,FISHING GEAR,2
SPARROW,FICTIONAL PIRATES,3
BROWN,COLORS,1
TACKLE,FISHING GEAR,2
HOOK,FICTIONAL PIRATES,3
PINK,COLORS,1
CAW,BIRD SOUNDS,0
JONES,FICTIONAL PIRATES,3
VIOLET,COLORS,1
REEL,FISHING GEAR,2
TURQUOISE,COLORS,1
CHIRP,BIRD SOUNDS,0
LURE,FISHING GEAR,2
CLUCK,BIRD SOUNDS,0
BEAN,MR. ___,3
ESPRESSO,COFFEE DRINKS,0
ALMOND,TREE NUTS,1
FOREST,SHADES OF GREEN,2
PECAN,TREE NUTS,1
CLEAN,MR. ___,3
KELLY,SHADES OF GREEN,2
LATTE,COFFEE DRINKS,0
PEANUT,MR. ___,3
EMERALD,SHADES OF GREEN,2
AMERICANO,COFFEE DRINKS,0
FOX,MR. ___,3
OLIVE,SHADES OF GREEN,2
WALNUT,TREE NUTS,1
CAPPUCCINO,COFFEE DRINKS,0
CASHEW,TREE NUTS,1
TIDE,DETERGENTS,2
BERMUDA,___ TRIANGLE,3
STERN,SHIP DIRECTIONS,1
SCARF,NECKWEAR,0
LOVE,___ TRIANGLE,3
ASCOT,NECKWEAR,0
GAIN,DETERGENTS,2
BOW,SHIP DIRECTIONS,1
RIGHT,___ TRIANGLE,3
ERA,DETERGENTS,2
PORT,SHIP DIRECTIONS,1
BOLO,NECKWEAR,0
ACUTE,___ TRIANGLE,3
TIE,NECKWEAR,0
ALL,DETERGENTS,2
STARBOARD,SHIP DIRECTIONS,1
GREY,TITLE TV DOCTORS,2
CUP,AWARDS,1
BILL,NFL PLAYERS,3
RIBBON,AWARDS,1
QUAD,"MUSCLES, INFORMALLY",0
BEAR,NFL PLAYERS,3
HOUSE,TITLE TV DOCTORS,2
LAT,"MUSCLES, INFORMALLY",0
QUINN,TITLE TV DOCTORS,2
TRI,"MUSCLES, INFORMALLY",0
MEDAL,AWARDS,1
COMMANDER,NFL PLAYERS,3
BROWN,NFL PLAYERS,3
TROPHY,AWARDS,1
PEC,"MUSCLES, INFORMALLY",0
HOWSER,TITLE TV DOCTORS,2
CREAM,OFF-WHITE SHADES,0
GARLIC,ANTI-VAMPIRE,1
PORK,KINDS OF MEAT,2
ROW,SYNONYMS FOR ARGUMENT,3
MIRROR,ANTI-VAMPIRE,1
BEEF,KINDS OF MEAT,2
SPAT,SYNONYMS FOR ARGUMENT,3
EGGSHELL,OFF-WHITE SHADES,0
POULTRY,KINDS OF MEAT,2
STAKE,ANTI-VAMPIRE,1
TIFF,SYNONYMS FOR ARGUMENT,3
VANILLA,OFF-WHITE SHADES,0
IVORY,OFF-WHITE SHADES,0
QUARREL,SYNONYMS FOR ARGUMENT,3
VENISON,KINDS OF MEAT,2
CRUCIFIX,ANTI-VAMPIRE,1
KING,ROYAL AND NOBLE TITLES,1
OAT,GRAINS,0
STONE,BEST DIRECTOR OSCAR WINNERS,3
RICE,UNIVERSITIES,2
BARLEY,GRAINS,0
BONG,BEST DIRECTOR OSCAR WINNERS,3
DUKE,UNIVERSITIES,2
FORD,BEST DIRECTOR OSCAR WINNERS,3
BROWN,UNIVERSITIES,2
SPELT,GRAINS,0
LEE,BEST DIRECTOR OSCAR WINNERS,3
EARL,ROYAL AND NOBLE TITLES,1
HOWARD,UNIVERSITIES,2
BARON,ROYAL AND NOBLE TITLES,1
RYE,GRAINS,0
PRINCE,ROYAL AND NOBLE TITLES,1
OPERA,WEB BROWSERS,1
BABY,LIL ___ RAPPERS,3
WAYNE,LIL ___ RAPPERS,3
JO,“LITTLE WOMEN” SISTERS,2
POP,MUSIC GENRES,0
MEG,“LITTLE WOMEN” SISTERS,2
SAFARI,WEB BROWSERS,1
KIM,LIL ___ RAPPERS,3
RAP,MUSIC GENRES,0
CHROME,WEB BROWSERS,1
BETH,“LITTLE WOMEN” SISTERS,2
JAZZ,MUSIC GENRES,0
PUNK,MUSIC GENRES,0
JON,LIL ___ RAPPERS,3
AMY,“LITTLE WOMEN” SISTERS,2
EDGE,WEB BROWSERS,1
BITE,SOUND ___,3
STOP,TRAFFIC SIGNS,2
TRUNK,ANIMAL NOSES,1
BOXER,DOG BREEDS,0
WAVE,SOUND ___,3
YIELD,TRAFFIC SIGNS,2
MUZZLE,ANIMAL NOSES,1
BARRIER,SOUND ___,3
DETOUR,TRAFFIC SIGNS,2
HUSKY,DOG BREEDS,0
SNOUT,ANIMAL NOSES,1
ASLEEP,SOUND ___,3
DALMATIAN,DOG BREEDS,0
BEAK,ANIMAL NOSES,1
SLOW,TRAFFIC SIGNS,2
POODLE,DOG BREEDS,0
BEACH BOY,'60S BAND MEMBERS,0
TWIST,DANCE FADS,1
CHAIN,THINGS WITH LINKS,3
ROLLING STONE,MAGAZINES,2
MASHED POTATO,DANCE FADS,1
WIRED,MAGAZINES,2
WEBSITE,THINGS WITH LINKS,3
BEATLE,'60S BAND MEMBERS,0
SAUSAGE,THINGS WITH LINKS,3
BYRD,'60S BAND MEMBERS,0
DOUGIE,DANCE FADS,1
FORTUNE,MAGAZINES,2
MACARENA,DANCE FADS,1
VOGUE,MAGAZINES,2
GOLF COURSE,THINGS WITH LINKS,3
MONKEE,'60S BAND MEMBERS,0
MILKY WAY,CANDY BARS,0
GENESIS,VIDEO GAME CONSOLES,1
HAMMER,EAR PARTS,2
SUM,BAND NAMES MINUS NUMBERS,3
SWITCH,VIDEO GAME CONSOLES,1
MAROON,BAND NAMES MINUS NUMBERS,3
BOUNTY,CANDY BARS,0
U,BAND NAMES MINUS NUMBERS,3
ANVIL,EAR PARTS,2
CRUNCH,CANDY BARS,0
BLINK,BAND NAMES MINUS NUMBERS,3
STIRRUP,EAR PARTS,2
HEATH,CANDY BARS,0
WII,VIDEO GAME CONSOLES,1
COCHLEA,EAR PARTS,2
DREAMCAST,VIDEO GAME CONSOLES,1
MOUSSE,DESSERTS,0
WALRUS,MUSTACHES,3
FUDGE,MILD OATHS,1
HORSESHOE,MUSTACHES,3
SHOOT,MILD OATHS,1
PENCIL,MUSTACHES,3
ELEPHANT,ANIMALS WITH TUSKS,2
FLAN,DESSERTS,0
NARWHAL,ANIMALS WITH TUSKS,2
HIPPO,ANIMALS WITH TUSKS,2
HECK,MILD OATHS,1
HANDLEBAR,MUSTACHES,3
TIRAMISU,DESSERTS,0
DARN,MILD OATHS,1
WARTHOG,ANIMALS WITH TUSKS,2
CHEESECAKE,DESSERTS,0
PETTY,TOMS,2
PARROT,SYNONYMS FOR IMITATE,1
POLAND,EUROPEAN COUNTRIES,0
CRUISE,TOMS,2
MIX,WORDS SPELLED WITH ROMAN NUMERALS,3
MIMIC,SYNONYMS FOR IMITATE,1
HOLLAND,TOMS,2
GREECE,EUROPEAN COUNTRIES,0
ECHO,SYNONYMS FOR IMITATE,1
MILD,WORDS SPELLED WITH ROMAN NUMERALS,3
LIVID,WORDS SPELLED WITH ROMAN NUMERALS,3
COPY,SYNONYMS FOR IMITATE,1
PORTUGAL,EUROPEAN COUNTRIES,0
WAITS,TOMS,2
DENMARK,EUROPEAN COUNTRIES,0
DILL,WORDS SPELLED WITH ROMAN NUMERALS,3
HEART,ORGANS,1
BERET,HATS,0
SPINE,PARTS OF A BOOK,2
POT,JACK ___,3
ASS,JACK ___,3
KIDNEY,ORGANS,1
FEZ,HATS,0
JACKET,PARTS OF A BOOK,2
BOWLER,HATS,0
RABBIT,JACK ___,3
LIVER,ORGANS,1
COVER,PARTS OF A BOOK,2
LUNG,ORGANS,1
PAGE,PARTS OF A BOOK,2
FEDORA,HATS,0
KNIFE,JACK ___,3
COCONUT,TROPICAL FRUITS,3
ZIP,FILE EXTENSIONS,1
PENGUIN,FLIGHTLESS BIRDS,2
DOC,SEVEN DWARFS,0
KIWI,FLIGHTLESS BIRDS,2
HAPPY,SEVEN DWARFS,0
TIFF,FILE EXTENSIONS,1
BANANA,TROPICAL FRUITS,3
EMU,FLIGHTLESS BIRDS,2
GRUMPY,SEVEN DWARFS,0
MANGO,TROPICAL FRUITS,3
GIF,FILE EXTENSIONS,1
PDF,FILE EXTENSIONS,1
OSTRICH,FLIGHTLESS BIRDS,2
BASHFUL,SEVEN DWARFS,0
PINEAPPLE,TROPICAL FRUITS,3
SKATE,FISH,2
ADD,ARITHMETIC OPERATIONS,1
COPY,___ CAT,3
FLY,WINGED INSECTS,0
ALLEY,___ CAT,3
TANG,FISH,2
MOTH,WINGED INSECTS,0
COOL,___ CAT,3
DIVIDE,ARITHMETIC OPERATIONS,1
SOLE,FISH,2
LAP,___ CAT,3
SUBTRACT,ARITHMETIC OPERATIONS,1
TETRA,FISH,2
GNAT,WINGED INSECTS,0
MULTIPLY,ARITHMETIC OPERATIONS,1
WASP,WINGED INSECTS,0
SPIRAL,PASTA SHAPES,1
HIP,JOINTS,2
MOTHER,MOVIES WITH “!”,3
RAVEN,NFL PLAYERS,0
ELBOW,PASTA SHAPES,1
AIRPLANE,MOVIES WITH “!”,3
KNEE,JOINTS,2
SHELL,PASTA SHAPES,1
COWBOY,NFL PLAYERS,0
SHOULDER,JOINTS,2
OKLAHOMA,MOVIES WITH “!”,3
BOWTIE,PASTA SHAPES,1
THEM,MOVIES WITH “!”,3
PACKER,NFL PLAYERS,0
WRIST,JOINTS,2
BRONCO,NFL PLAYERS,0
PAD,WORDS WITH “i”,2
LIMA,WORDS WITH TWO PRONUNCIATIONS,3
CONE,3-D SHAPES,1
TOMATO,VEGETABLES THAT ARE ALSO FRUITS,0
POLISH,WORDS WITH TWO PRONUNCIATIONS,3
PEPPER,VEGETABLES THAT ARE ALSO FRUITS,0
PHONE,WORDS WITH “i”,2
PYRAMID,3-D SHAPES,1
CUBE,3-D SHAPES,1
MOBILE,WORDS WITH TWO PRONUNCIATIONS,3
JOB,WORDS WITH TWO PRONUNCIATIONS,3
CUCUMBER,VEGETABLES THAT ARE ALSO FRUITS,0
EGGPLANT,VEGETABLES THAT ARE ALSO FRUITS,0
MAC,WORDS WITH “i”,2
SPHERE,3-D SHAPES,1
POD,WORDS WITH “i”,2
SOLE,SHOE PARTS,0
TROUBLE,BOARD GAMES,1
HUNT,FICTIONAL SPIES,2
CEMENT,RUBBER ___,3
SMART,FICTIONAL SPIES,2
TONGUE,SHOE PARTS,0
SOUL,RUBBER ___,3
BOND,FICTIONAL SPIES,2
LACE,SHOE PARTS,0
BAND,RUBBER ___,3
SORRY,BOARD GAMES,1
RYAN,FICTIONAL SPIES,2
CLUE,BOARD GAMES,1
HEEL,SHOE PARTS,0
DUCKIE,RUBBER ___,3
RISK,BOARD GAMES,1
TUG,BOATS,0
CHUCK,NICKNAMES THAT ARE VERBS,3
JUNK,BOATS,0
CLUB,SANDWICHES,1
SHANK,CUTS OF BEEF,2
ROB,NICKNAMES THAT ARE VERBS,3
SUB,SANDWICHES,1
FLANK,CUTS OF BEEF,2
CUBAN,SANDWICHES,1
FERRY,BOATS,0
LOIN,CUTS OF BEEF,2
SUE,NICKNAMES THAT ARE VERBS,3
JOSH,NICKNAMES THAT ARE VERBS,3
ROUND,CUTS OF BEEF,2
MELT,SANDWICHES,1
YACHT,BOATS,0
ROCK,ROCK PAPER SCISSORS,2
FUNK,MUSIC GENRES,1
BUCK,MALE ANIMALS,3
BOUQUET,PLEASANT SMELLS,0
SHOOT,ROCK PAPER SCISSORS,2
BULL,MALE ANIMALS,3
COUNTRY,MUSIC GENRES,1
JACK,MALE ANIMALS,3
SOUL,MUSIC GENRES,1
SCENT,PLEASANT SMELLS,0
SCISSORS,ROCK PAPER SCISSORS,2
BOAR,MALE ANIMALS,3
FRAGRANCE,PLEASANT SMELLS,0
PAPER,ROCK PAPER SCISSORS,2
BLUES,MUSIC GENRES,1
AROMA,PLEASANT SMELLS,0
NICKEL,U.S. COINS,0
HALF,___ AND ___,3
HORSESHOE,LUCKY CHARMS MARSHMALLOWS,2
TIN,METAL ELEMENTS,1
RAINBOW,LUCKY CHARMS MARSHMALLOWS,2
QUARTER,U.S. COINS,0
NECK,___ AND ___,3
LEAD,METAL ELEMENTS,1
PENNY,U.S. COINS,0
CLOVER,LUCKY CHARMS MARSHMALLOWS,2
IRON,METAL ELEMENTS,1
SO,___ AND ___,3
ZINC,METAL ELEMENTS,1
AGAIN,___ AND ___,3
DIME,U.S. COINS,0
MOON,LUCKY CHARMS MARSHMALLOWS,2
EYE,NAKED ___,3
MARS,CHOCOLATE BARS,1
PAPER,SLANG FOR MONEY,2
TRUTH,NAKED ___,3
WOMBAT,MARSUPIALS,0
GUN,NAKED ___,3
MOLE RAT,NAKED ___,3
CHUNKY,CHOCOLATE BARS,1
CHEDDAR,SLANG FOR MONEY,2
CRUNCH,CHOCOLATE BARS,1
KANGAROO,MARSUPIALS,0
DOUGH,SLANG FOR MONEY,2
KOALA,MARSUPIALS,0
STACKS,SLANG FOR MONEY,2
MOUNDS,CHOCOLATE BARS,1
WALLABY,MARSUPIALS,0
SPOKE,BIKE PARTS,1
MOVE,SYNONYMS FOR SELL,2
CUB,COUNTRIES WHEN “A” IS ADDED,3
SEAL,MARINE MAMMALS,0
HAWK,SYNONYMS FOR SELL,2
CHAIN,BIKE PARTS,1
DOLPHIN,MARINE MAMMALS,0
CHIN,COUNTRIES WHEN “A” IS ADDED,3
SADDLE,BIKE PARTS,1
PEDDLE,SYNONYMS FOR SELL,2
MALT,COUNTRIES WHEN “A” IS ADDED,3
OTTER,MARINE MAMMALS,0
MANATEE,MARINE MAMMALS,0
BRAKE,BIKE PARTS,1
VEND,SYNONYMS FOR SELL,2
TONG,COUNTRIES WHEN “A” IS ADDED,3
MOUNTAIN,LAND FORMATIONS,1
ELM,STREETS ON SCREEN,3
ONION,BAGEL FLAVORS,2
JUMP,STREETS ON SCREEN,3
PLAIN,BAGEL FLAVORS,2
VALLEY,LAND FORMATIONS,1
OAK,TREES,0
POPPY,BAGEL FLAVORS,2
POPLAR,TREES,0
SESAME,STREETS ON SCREEN,3
CANYON,LAND FORMATIONS,1
FEAR,STREETS ON SCREEN,3
PLATEAU,LAND FORMATIONS,1
ASH,TREES,0
EVERYTHING,BAGEL FLAVORS,2
CEDAR,TREES,0
PEPPER,DR. ___,3
MOLE,UNITS OF MEASURE,2
WATCH,TIMEKEEPING DEVICES,0
BOB,HAIRSTYLES,1
SECOND,UNITS OF MEASURE,2
EVIL,DR. ___,3
CROP,HAIRSTYLES,1
CLOCK,TIMEKEEPING DEVICES,0
NO,DR. ___,3
NEWTON,UNITS OF MEASURE,2
SUNDIAL,TIMEKEEPING DEVICES,0
PIXIE,HAIRSTYLES,1
HERTZ,UNITS OF MEASURE,2
HOURGLASS,TIMEKEEPING DEVICES,0
SHAG,HAIRSTYLES,1
J,DR. ___,3
AVIATOR,SUNGLASSES,2
FLUTE,WOODWINDS,0
MONK,SEALS,3
LID,COVERINGS,1
HARBOR,SEALS,3
HARP,SEALS,3
CLARINET,WOODWINDS,0
CAT EYE,SUNGLASSES,2
TOP,COVERINGS,1
HOODED,SEALS,3
BASSOON,WOODWINDS,0
COVER,COVERINGS,1
OBOE,WOODWINDS,0
WAYFARER,SUNGLASSES,2
CAP,COVERINGS,1
WRAPAROUND,SUNGLASSES,2
FIJI,BOTTLED WATER BRANDS,0
MUD,SLANG FOR COFFEE,1
POP,CEREAL MASCOTS,3
PALAU,ISLAND COUNTRIES,2
JOE,SLANG FOR COFFEE,1
SAM,CEREAL MASCOTS,3
JAPAN,ISLAND COUNTRIES,2
BREW,SLANG FOR COFFEE,1
CUBA,ISLAND COUNTRIES,2
VOSS,BOTTLED WATER BRANDS,0
TONY,CEREAL MASCOTS,3
JAVA,SLANG FOR COFFEE,1
DASANI,BOTTLED WATER BRANDS,0
MALTA,ISLAND COUNTRIES,2
EVIAN,BOTTLED WATER BRANDS,0
LUCKY,CEREAL MASCOTS,3
DASH,RUN QUICKLY,2
MASK,SCUBA GEAR,0
JUNGLE,___ CAT,3
PERIOD,PUNCTUATION MARKS,1
HOUSE,___ CAT,3
HYPHEN,PUNCTUATION MARKS,1
SNORKEL,SCUBA GEAR,0
BOLT,RUN QUICKLY,2
FAT,___ CAT,3
TANK,SCUBA GEAR,0
COLON,PUNCTUATION MARKS,1
RACE,RUN QUICKLY,2
FINS,SCUBA GEAR,0
SPRINT,RUN QUICKLY,2
DOJA,___ CAT,3
COMMA,PUNCTUATION MARKS,1
CANARY,THINGS THAT ARE YELLOW,1
IRATE,SYNONYMS FOR ANGRY,0
LOST,___ BOYS,3
SCHOOL BUS,THINGS THAT ARE YELLOW,1
BEACH,___ BOYS,3
GULL,MARINE BIRDS,2
FURIOUS,SYNONYMS FOR ANGRY,0
BOOBY,MARINE BIRDS,2
BANANA,THINGS THAT ARE YELLOW,1
BEASTIE,___ BOYS,3
SUNFLOWER,THINGS THAT ARE YELLOW,1
LIVID,SYNONYMS FOR ANGRY,0
HARDY,___ BOYS,3
PELICAN,MARINE BIRDS,2
INCENSED,SYNONYMS FOR ANGRY,0
PUFFIN,MARINE BIRDS,2
SOLID,STATES OF MATTER,0
PASTE,EDIT MENU COMMANDS,1
SLATE,ANAGRAMS,3
TRASH,DEFEAT BADLY,2
TESLA,ANAGRAMS,3
CUT,EDIT MENU COMMANDS,1
PLASMA,STATES OF MATTER,0
CRUSH,DEFEAT BADLY,2
GAS,STATES OF MATTER,0
SHELLAC,DEFEAT BADLY,2
STALE,ANAGRAMS,3
UNDO,EDIT MENU COMMANDS,1
COPY,EDIT MENU COMMANDS,1
LIQUID,STATES OF MATTER,0
ROUT,DEFEAT BADLY,2
LEAST,ANAGRAMS,3
PLANE,MODES OF TRANSPORTATION,0
SUN,NBA PLAYERS,1
DAY,BAND NAMES MINUS COLORS,3
THUNDER,NBA PLAYERS,1
SONIC,FAST FOOD CHAINS,2
BOAT,MODES OF TRANSPORTATION,0
STRIPES,BAND NAMES MINUS COLORS,3
CHECKERS,FAST FOOD CHAINS,2
CAR,MODES OF TRANSPORTATION,0
SUBWAY,FAST FOOD CHAINS,2
FLOYD,BAND NAMES MINUS COLORS,3
TRAIN,MODES OF TRANSPORTATION,0
OUTBACK,FAST FOOD CHAINS,2
KING,NBA PLAYERS,1
SABBATH,BAND NAMES MINUS COLORS,3
MAGIC,NBA PLAYERS,1
HURRICANE,COCKTAILS,3
CYCLONE,STORMS,2
CHICAGO,MOVIE TITLE CITIES,0
W,FASHION MAGAZINES,1
MANHATTAN,COCKTAILS,3
GLAMOUR,FASHION MAGAZINES,1
TORNADO,STORMS,2
PHILADELPHIA,MOVIE TITLE CITIES,0
COSMOPOLITAN,COCKTAILS,3
SQUALL,STORMS,2
ALLURE,FASHION MAGAZINES,1
SCREWDRIVER,COCKTAILS,3
RIO,MOVIE TITLE CITIES,0
BLIZZARD,STORMS,2
MUNICH,MOVIE TITLE CITIES,0
ELLE,FASHION MAGAZINES,1
TREE,YOGA POSES,2
GECKO,LIZARDS,1
FOREST,BIOMES,0
GO,DANCES WHEN DOUBLED,3
MONITOR,LIZARDS,1
DESERT,BIOMES,0
LOTUS,YOGA POSES,2
CAN,DANCES WHEN DOUBLED,3
IGUANA,LIZARDS,1
CHA,DANCES WHEN DOUBLED,3
TUNDRA,BIOMES,0
COBRA,YOGA POSES,2
GRASSLAND,BIOMES,0
WARRIOR,YOGA POSES,2
NAE,DANCES WHEN DOUBLED,3
CHAMELEON,LIZARDS,1
RIB,SYNONYMS FOR BOTHER,2
SPECTER,APPARITIONS,1
TWEED,FABRICS,0
SCAR,DISNEY CHARACTERS,3
SPIRIT,APPARITIONS,1
BEAST,DISNEY CHARACTERS,3
NEEDLE,SYNONYMS FOR BOTHER,2
